roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Afghanistan,0.025,1.4805072832758248,1.4801700534838969,1.4790697261578423,,,1.4764818610347705,1.4644361002204225,1.4423174048437115,,,,,,,0.01592373393350262,0.013378355427352651,,,0.012750910954569119,0.012732941188443595,0.013295633543485664,,,,,,,1.238946268013638,0.001168935033413093,0.0015168006148652776,,,0.001592167229669442,0.0016641626436613838,0.0018162481276246404,,,,,,,406.53157923136064,,406.5218372130806
Afghanistan,0.25,2.5122621142612314,2.5101992587027246,2.5046883679357888,,,2.4863725598715885,2.432482561090908,2.3169950321780797,,,,,,,0.035762690221121066,0.03381461387514874,,,0.03406489073526998,0.035391089070032376,0.03754526349747887,,,,,,,1.4342205626032603,0.0029976825118259044,0.004299747865504329,,,0.004845844412489071,0.005319551677384666,0.005951344609780548,,,,,,,456.7046219426989,,456.6905120430156
Afghanistan,0.5,3.46568319452051,3.458766388049551,3.4377959105503675,,,3.385291871066256,3.2578530953707294,3.046380960420908,,,,,,,0.059902441860940694,0.06015744917930535,,,0.062052533744815466,0.06460270220542662,0.06823402078757895,,,,,,,1.5499309053284596,0.005198409155683686,0.007849126854550272,,,0.009154800191921775,0.010287060062202757,0.011549884281586022,,,,,,,483.03047285500315,,483.0140711231245
Afghanistan,0.75,4.864291629143123,4.844758985387054,4.799771907874779,,,4.672709906753569,4.411906796195652,4.044042290279499,,,,,,,0.10458310041359688,0.11046926167503615,,,0.11687897645903345,0.12218171761997189,0.1282511656184762,,,,,,,1.6742859947847912,0.009575464073790639,0.014837087640344152,,,0.018077896862572586,0.02037805066777298,0.02268215983738018,,,,,,,509.3563237673074,,509.3376302032334
Afghanistan,0.975,9.241909906280075,9.178264516552384,8.990402556774601,,,8.49923013682154,7.792818696056014,6.866503715866913,,,,,,,0.3773801032263721,0.3649003485376981,,,0.37079328776427156,0.38096601702919475,0.39073414095057274,,,,,,,1.9377863986363337,0.03815511469897604,0.054851716024727055,,,0.0648738393900918,0.0719691317706123,0.07939230763316076,,,,,,,559.5293664786457,,559.5063050331684
Afghanistan,max,24.450072157434125,24.402845647174484,24.260108160453626,,,23.70408394392714,21.763771897976962,16.863778532152782,,,,,,,2.3008815241992755,1.1279625024943107,,,0.9728439340771213,0.9310371766777042,0.9282456486423046,,,,,,,2.441388005118155,0.3558965678746039,0.29976378547519833,,,0.2759257789185545,0.2834347484233459,0.2870447768120198,,,,,,,,,
Afghanistan,mean,3.9556819012145956,3.940287493051916,3.9027462536858577,,,3.804486701514633,3.613188661383279,3.3393964993217393,,,,,,,0.09290155256024393,0.09156866512004973,,,0.09443122623454119,0.09784764056578187,0.1018080641996625,,,,,,,1.5593241909428712,0.008687421775510412,0.012719066543341049,,,0.015035502669761103,0.0168734471835781,0.018645687100587678,,,,,,,483.03047285500315,,483.0140711231245
Afghanistan,min,1.0225241588493592,1.0225241588449585,1.0225241588315133,,,1.02252415877699,1.0225241585558869,1.022524157659269,,,,,,,0.004278598315495633,0.002161342965684917,,,0.0018352440918443698,0.0017390571798714838,0.0017125679121465123,,,,,,,0.9463719742597096,0.00021595665340880065,0.0001529764107879712,,,0.0001347052844963943,0.00012854784570913845,0.000130026234983422,,,,,,,,,
Afghanistan,std,2.0411424843998565,2.017400520529854,1.965401396263489,,,1.8484801457271525,1.6557499729560974,1.4188113855290834,,,,,,,0.11742404828111942,0.09912511186939474,,,0.0993466538454268,0.10097500151557166,0.10288703113547178,,,,,,,0.17860462154467158,0.012938210215796053,0.015744042798914743,,,0.017972699244008773,0.019841189954815052,0.02141963396404105,,,,,,,39.03076496663001,,39.02736709113274
Albania,0.025,2.9396855675821865,2.9393406085743212,2.935938321303712,,,2.9250596323053757,2.808098168004059,2.4968238330520527,,,,,,,0.028354533278621023,0.04036229179025386,,,0.05311239877847675,0.06239486348550131,0.06847563604397604,,,,,,,0.4893012621491218,0.0008422384870650214,0.0018789568959674948,,,0.003327864591610245,0.004948343556931362,0.006264816923068442,,,,,,,503.8649111467334,,503.5741904233489
