model,roi,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,q,cbase,clocation,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),car (week 5),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),waic,loo,Rt-by-week,car-by-week,ifr-by-week,Rt (week 6),car (week 6),ifr (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt (week 10),car (week 7),car (week 8),car (week 9),car (week 10),ifr (week 7),ifr (week 8),ifr (week 9),ifr (week 10),Rt (week 11),car (week 11),ifr (week 11)
nonlinearmodel,Afghanistan,-240.07347113427102,3.505326972598797,0.30438562247455464,0.013735691563838288,0.03242092140186443,0.02924724113694136,0.06655313553655015,0.28076404351491663,78.21121499809357,1.5440631288125308,0.07165262408869794,2.0100596632400185,31.23766440850431,3.3641649923692087,3.2512351372585497,3.0528180419445317,2.840226256584229,2.640984807801069,,0.06744703679327373,0.07216253790634966,0.07688307936580552,0.08101332628862329,0.08597666488130304,,0.0058239856437298995,0.009417086637838981,0.011927509037367823,0.013135722197168461,0.014562859238908078,,555.2428506141154,966.95175957947,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Albania,-270.71601083617315,5.042269335709513,0.6080456330006201,0.02488122724631004,0.07825347721673133,0.014895597977943131,0.0716671643025957,0.2076867251313248,46.10937900435171,0.6050986456266954,0.07503166603405906,4.752429776727002,21.870563501591196,4.4388656927882355,3.976548570909239,3.3742490109365235,2.802856222935315,2.409952919330519,,0.13892370564859763,0.20984808289167306,0.2580941717790097,0.30707938230680615,0.35353303997658353,,0.0043988271475249585,0.010909852742343025,0.01704473536214115,0.024264808470389754,0.03233732069236614,,726.4422189407542,1605.9326737414356,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Algeria,-450.39296075677373,4.075232310795135,0.375582686250454,0.017559459557475815,0.0689494904585484,0.03276574195976591,0.07160820591306152,0.26854936173874694,70.53632378294537,1.0631999847010132,0.07349206837542455,2.7307508856685025,22.89579156446555,3.795203048420719,3.555057518208141,3.242893268858594,2.9272997175303397,2.6868847456582987,2.5316495621723574,0.07955983543374348,0.09617367414094069,0.10397467030582645,0.11442733938412364,0.13088429618127756,0.15423619099591918,0.006043820396061513,0.010476065450479414,0.01350310051698637,0.015494578581433934,0.01897980184378301,0.024922545322826985,1511.54239229623,3401.2122337073365,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Andorra,-253.4867282269148,3.5117491849830182,0.30257635427137486,0.01151417153470736,0.036841966052843296,0.01979941453412929,0.06577023422972168,0.2113828936961819,55.59748854958471,1.394918753643478,0.0690265725368223,2.0161891316031997,41.32332483915859,3.4355121291329773,3.291384965073166,3.054030842352235,2.776702061846736,,,0.06821861857362113,0.08474180795798657,0.09989967428289037,0.11276456274948135,,,0.00421527904987528,0.008760570537574012,0.013279641055483602,0.017941636089575393,,,521.7299704336883,633.3683677894318,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Antigua and Barbuda,-53.86097705607121,4.167629550122323,0.7124046380133973,0.04159899441992268,0.05422969231454564,0.07409245700086117,0.08452134040608288,0.10074411586158594,35.76585632679814,3.3500417100613102,0.06451260418856586,3.244267058979746,19.714991587127393,3.425997373516687,3.0010666657719653,2.526494425394272,,,,0.2286451184553635,0.2726416199631839,0.33285752408843294,,,,0.034665931159730906,0.09478952501013468,0.12358852525824476,,,,111.33824576569853,111.36460246490866,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Argentina,-401.82062075854697,4.036408637201092,0.30589375792759665,0.012666358817754984,0.05653419146139731,0.018131664317735975,0.06155376597049629,0.24459742077518556,72.4639126049008,1.2169335595014084,0.07091384788822579,1.8272284140177328,60.598725950336416,4.000138251526217,3.9622461897070247,3.909094827129147,3.832877295080541,3.7569972630911295,,0.04874964000160637,0.04853770170080189,0.055005922842128296,0.06897785904452128,0.08900987958686653,,0.0023285937232032676,0.0031261302920983017,0.004009047413768813,0.005829155906695803,0.00915037602793023,,865.5667850488294,952.9565917266314,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Armenia,-309.79312545562374,7.635070989826238,0.908782646308625,0.037986027718390665,0.05216852682617412,0.0132506344528889,0.06670000883840249,0.18866159169090535,41.1706245247805,1.06589300003511,0.06942671083880703,3.147459146309799,27.93579499508545,7.055580371457748,6.487428822700229,5.686279507956799,4.74175153834665,3.787750324614205,,0.16039607549910057,0.24384148606583028,0.2876012087560187,0.320922799059275,0.3478844300299727,,0.004569924755241792,0.012235852336121397,0.019289142014557257,0.025530020460499684,0.03133277237859555,,700.5882847414221,1341.768438280762,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Austria,-637.6030494732538,3.4938543167977087,0.3859495020352582,0.019007408512777005,0.05198864544975989,0.011140394874646228,0.08736459577923916,0.20448649571246647,93.18212249989855,1.243435445937462,0.06871206287782805,1.7694190022164271,73.67212803937772,3.4693442123553417,3.4427541215646897,3.396543182054712,3.360293375867725,3.323986600066067,3.295970346407838,0.056791644390329916,0.05280020415703646,0.05477786813572648,0.06262674802669539,0.08389730653044747,0.1147168537349122,0.001542343583928628,0.0018320437035690752,0.00199979790904623,0.002401761425118913,0.003983357378190057,0.0073888655880544885,1948.0695708504595,1919.5292727905853,,,,3.263013104600657,0.1433091936229845,0.012067436919462535,,,,,,,,,,,,,,,
nonlinearmodel,Azerbaijan,-323.53062559738055,2.865867025134129,0.23769397258672365,0.01090704823991509,0.07603652619420194,0.022187105022820404,0.06719981415643432,0.23412799885549726,104.38846537384492,1.5356729979460346,0.0694399631139276,1.2390834642037616,49.31153903848047,2.8606025547357263,2.8460203572915854,2.8059362804368195,2.749420884903395,2.6942533056166322,2.6452972186090626,0.052084201821003484,0.04283229619572214,0.042089324197433664,0.041239972155357255,0.04186804704759147,0.044998032922666104,0.0034674738601544698,0.004045067567685979,0.004980282940698428,0.004612177613850569,0.004077219617223331,0.004235260867563711,685.6973269641699,968.234896097508,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Bahamas,-94.37165060976903,3.7472078393593917,0.5756631331535607,0.029801012979811504,0.05343095650710412,0.07144679908080692,0.08056414421803323,0.12269000593168514,36.51844125943134,1.7342668865585895,0.06688648881920613,2.841486432805433,24.231145212075894,3.261364943508584,2.9234553121842586,2.495624619602309,2.0271333464625494,,,0.1484470095800634,0.18957755311756852,0.23083303774627478,0.22454256016881208,,,0.02614160742399956,0.06077212505113384,0.07798743178803932,0.10098097453214513,,,198.72974730416055,200.28586087137754,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Bahrain,-496.721763505043,2.9011949294008104,0.22681252063744045,0.00931436149152558,0.6037862279082651,0.025170658168389107,0.05726474218542072,0.3288810014290948,30.400989013166193,1.3867605041509656,0.06891524388655293,2.034027022383653,19.00011508645259,2.7701551887747238,2.575869687370947,2.31387835652116,2.078516969595436,1.9085258833585712,1.8126518904671507,0.06768056521826804,0.07350822594561204,0.07730608064578444,0.08086617369335433,0.08362353505826936,0.08655758010062269,0.0038319267829922334,0.002521040550842484,0.0034191022561404875,0.002923811172742569,0.0030382399848333857,0.0031384369828319856,1867.3600297944165,1397.21488986963,,,,1.7620311423900126,0.0900129595848775,0.003256552316584398,,,,,,,,,,,,,,,
nonlinearmodel,Bangladesh,-240.74799000469153,2.9201827899110624,0.23670362980297022,0.011466300563347633,0.030688571446020902,0.030501246498943077,0.06437546806362815,0.24882760199290183,124.85996584779494,1.1585905345273617,0.06876537590502912,1.65459231318408,79.948239289425,2.935541348799952,2.922737985218019,2.8895027892753626,2.84962206216693,2.81395550178134,,0.05521298407685134,0.043500656507920975,0.04249960830848641,0.03996533065134217,0.04284598104886894,,0.00545240338425217,0.006526553673050358,0.007437619457367737,0.006779481252791214,0.006259837249265469,,570.6810384569524,761.7319113121165,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Barbados,-116.12136075012121,5.216689454081536,0.6856475065748369,0.03227128067692203,0.05421053677558221,0.05834438817419575,0.07192665103111506,0.13304769863359084,38.25271092828966,1.6780583908450917,0.0695777055965435,2.8699449274011144,27.571949213715943,4.712183641344076,4.282799746873469,3.6374721423756995,2.922139799463326,,,0.15741554656395296,0.23959666413747938,0.2909572556876655,0.3144488900875759,,,0.021576070941604783,0.05618839086769672,0.08195830154797454,0.10957528808401537,,,239.15695789350153,239.84853233616914,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Belarus,-303.4791325837918,2.898547338175671,0.23439975651905806,0.011940997956034049,0.05249601431286194,0.028668684207855816,0.06454058226367038,0.23845821902373718,119.4600159885247,2.0274723056695088,0.06979788998124978,1.5314473463972251,76.1811488304855,2.8980698452573037,2.88571308847828,2.855306157259374,2.8115187592595787,2.7666737071952676,2.7314281566009555,0.05867387604313201,0.04860872554115958,0.048467374413942756,0.04686475806707474,0.0479317380085823,0.05309843591379815,0.0051940833251258416,0.0062757150006955,0.0073478691222885525,0.006792683729945724,0.006252573697255039,0.006834065088714838,691.9742031218009,947.3168170933131,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Belgium,-693.8361764362294,5.804619233576892,0.5006737314404979,0.02592500972455268,0.020833139208508926,0.014631804342664437,0.06333218753053087,0.3264126166355756,65.95677546942967,0.8754371253952535,0.07612294173691561,2.6369814537267544,16.344115323464532,5.318323439414976,4.915859996980426,4.460421983927473,4.047076113090947,3.7608823217868355,3.5787810374578224,0.09841276895745774,0.1192027077163306,0.12943689660186292,0.15092421023245145,0.19956701675013783,0.2636457648062305,0.003123719685968972,0.0056573539072319635,0.007026629538799789,0.00929775129384379,0.01564650631579092,0.028239710462944552,4178.321373718768,30246.16442794911,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Benin,-64.82844837163566,3.7726278910895115,0.6332727814489902,0.03555632567283292,0.05445029541088427,0.07110258248681585,0.08420251478937295,0.1058003054616089,36.98603888016736,3.1732884439652107,0.06376615476177583,3.010710542691938,21.533567784243985,3.177275720082016,2.8423316714341684,2.4308635010539343,,,,0.18499881701082352,0.22354674341658076,0.26760257705230867,,,,0.0315332123592732,0.07725664803899424,0.10430869816103669,,,,132.86121457790318,132.8917893276069,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Bolivia,-204.76164427233186,4.389172281171108,0.4627590396925123,0.020657879571676092,0.023314284273075588,0.033830248515430095,0.06521689636710393,0.2720829268062477,39.19042584552118,1.1096119087942953,0.07638382217807817,2.7252253621700597,26.0469826300912,4.095910636454331,3.7826514194445027,3.32320224320147,2.8398405189020695,2.504138192215323,,0.09667438947892068,0.12335984333863616,0.13591239447857117,0.1445147783694009,0.15220162026986495,,0.008798681381361743,0.01814398712808155,0.024964994024136346,0.029306135253538923,0.032999177364432586,,521.2900746305069,794.0338039078897,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Bosnia and Herzegovina,-319.74216402985866,3.735017210991289,0.30297713950196675,0.012192121651337201,0.03439536936846212,0.014861579770344826,0.06798357804131396,0.25598953118225215,72.32354219220281,0.9133228199023419,0.07147368800743001,1.9390845506841081,55.86793927284224,3.682319847016215,3.63252579708862,3.5557762142374036,3.4421437077855224,3.3513227271012402,3.258949344204218,0.0488273141533012,0.048457382376723215,0.051653555474061474,0.060543691733434934,0.07535725505568774,0.09320880208693033,0.0019922468340594253,0.0028158014052731173,0.0035388464591237304,0.004595911184268149,0.00667237075261885,0.010036680998043848,730.1601877484097,1238.7334919738682,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Brazil,-553.6634648062459,6.155845581916369,0.7338609897175943,0.04054692204652134,0.0305127899268693,0.02715105957831809,0.06351711350938878,0.3027024610220552,33.95494017158155,1.8084743857776635,0.07842721152518059,3.0870742591643228,24.264330722078746,5.599189038990199,5.075256423025761,4.413777911139293,3.794566384087166,3.344237247742205,3.0562095473546065,0.13618620396032727,0.1741810394618331,0.2023298276324712,0.20131803379788638,0.20184697968260962,0.22614408160420021,0.0074876020796544466,0.015197776830473695,0.02119126412980144,0.021361499702358087,0.02159657310775298,0.026654651201519764,71742.11040315659,20572.24447176046,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Brunei,-182.02342400048272,4.565109783270623,0.5743569418505144,0.02653725563829416,0.06697870190181071,0.02338149492776742,0.08272256423203775,0.08490409402930145,39.91748725897517,1.367413446870465,0.06257085762178104,2.9411919740984898,49.339090752046,4.281281458760041,3.895874373329894,3.4082884174988477,2.8470626456167745,2.2692365384758055,,0.14542032979660585,0.237674204952874,0.293501484759371,0.32587100788890305,0.3378339330199339,,0.008931896657992953,0.02564020740502107,0.04099908337115166,0.057172325283515624,0.07116389268751577,,375.69856033809236,379.9617155004554,,,,,,,,,,,,,,,,,,,,,
