roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),extra_std,ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),loo,q,waic,Rt (week 5),car (week 5),ifr (week 5),Rt (week 6),car (week 6),ifr (week 6),Rt (week 10),Rt (week 11),Rt (week 7),Rt (week 8),Rt (week 9),car (week 10),car (week 11),car (week 7),car (week 8),car (week 9),ifr (week 10),ifr (week 11),ifr (week 7),ifr (week 8),ifr (week 9)
AA_Global,mean,3.4885376071039462,3.4204978584430434,3.031591872237043,2.205771028524567,1.7593339979276768,1.8735443512415917,0.1003351952066624,0.10021405875492649,0.10313562390693733,0.10555882064297313,0.09630073447139387,1.174121462993205,0.0025088929354767555,0.004598330819181351,0.005713138093914222,0.006424121171166605,0.00618428725682306,400.9813694376007,0.18910619336471984,400.8438644197835,1.7506746980687995,0.07281172654917882,0.004376027845867898,1.392572904211927,0.05675340548221629,0.003323783218260023,1.0800470098489174,0.9877898833421443,1.1115513241267472,1.0704993990675662,0.9666912026568238,0.1097927166255627,0.11828270376311595,0.06159636942113521,0.07435702224018059,0.08182557974000591,0.008535702508255577,0.005511894897759914,0.003993626102440605,0.005388440564156996,0.005987070362874268
AA_Global,std,1.5613225328074782,1.474251704181288,1.3750855312653527,1.3134250452901546,1.1074669662726722,1.0983034729525192,0.03514873485839588,0.05308966829172719,0.06604586409890031,0.07700271672044981,0.07952530666941691,0.42134332798293433,0.0022737755796305454,0.003920828404660308,0.005451169460520321,0.006903851648997958,0.007310045740451788,328.4996043425118,0.03228911156248167,328.27587746696753,1.1119270955699432,0.07125513831820904,0.005892626843248156,0.7880500843098756,0.05135300755396737,0.003827037088081197,0.3497433188340415,0.35574644251655685,0.6053754782437011,0.5552439480329309,0.5063915831676281,0.08862557810751281,0.09201354990454277,0.046067878172997304,0.05656264378653206,0.07450146917942986,0.007172217413952854,0.005827722448413693,0.003060321619380381,0.003714712665683895,0.005682401306102514
Afghanistan,0.025,1.454157262387262,1.4685597935765238,1.4607927650726475,1.4487745939099472,1.4350006496195298,1.4145136118781763,0.016130936625039456,0.01299976385999979,0.0123712255323918,0.012319954742724569,0.012699716663786357,1.2341772675589286,0.0012057934395138194,0.0015239653590136016,0.0015964897873200256,0.001662279916704959,0.001794075616687004,406.4305270392074,0.005765839030159084,406.4155299732085,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.25,2.424283206786255,2.458822223108525,2.4169863200744466,2.3561734284042792,2.2709150367840505,2.162685190078717,0.03855323296551786,0.037972712504691336,0.03875825767946517,0.039978824796578716,0.04181732964300272,1.4315231228283567,0.003207268538178389,0.004816737573924776,0.005567493636631341,0.006080746560042496,0.00666947520780855,456.6003700424245,0.06253740496957684,456.5783640949933,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.5,3.382337537317263,3.4694202636691407,3.3892462885127013,3.2445974790102854,3.0513714400460015,2.835443580367287,0.06548316391755432,0.06917715451312713,0.07260445283046386,0.07576920019194312,0.07924018803290218,1.5469467857165564,0.005613755380335372,0.00899745031372717,0.010859335930287331,0.012192858424856411,0.013442487823599617,482.92454206434445,0.14977496795338968,482.8988585490863,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.75,5.06012532892175,5.273807362262147,5.061938246588109,4.712109007087267,4.273567005649331,3.83357951736203,0.11903149500019557,0.1308002129698944,0.1388813552185408,0.1458959761354729,0.15279064254859426,1.6720836334672922,0.01058692497134522,0.017578206152856816,0.021846569028498464,0.02475821474849922,0.027416054027487508,509.2487140862644,0.2951712037126553,509.2193530031793,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.975,11.194837663029723,12.271930283699522,11.996450119045615,11.051514296886925,9.667295485799691,7.91123350556993,0.5787472266349573,0.5441345099157041,0.5405362816448424,0.5434876298569926,0.5507576745522835,1.93179730958813,0.04944334659055302,0.07537338459782415,0.08916869082171137,0.0976074907607546,0.10393896099246104,559.4185570894815,0.7647292060826312,559.382187124964,,,,,,,,,,,,,,,,,,,,,
Afghanistan,mean,4.160201797669124,4.354948722477035,4.233475067463358,3.9976502101687483,3.6611789908262793,3.2849425088036623,0.11212792316959645,0.11362298464785332,0.11717156507307452,0.12080702890928974,0.12499934659746362,1.5564910192957178,0.009912957783221737,0.015548704108690903,0.018717743293485852,0.020872397169740126,0.022766145718099408,482.92454206434445,0.21108517347666828,482.8988585490863,,,,,,,,,,,,,,,,,,,,,
Afghanistan,std,2.6866313879686694,2.9973863091395962,2.9567366062917344,2.7748156004567175,2.404431370800325,1.9063422612915621,0.1495113999130663,0.13326688222395477,0.13218678820825924,0.13290087994007166,0.1345466306294357,0.17857340578210165,0.01420494886905355,0.020004666929006765,0.023365794633966496,0.025536454739979054,0.027203177843057456,39.028275840021585,0.20574935851144122,39.022823469802745,,,,,,,,,,,,,,,,,,,,,
Albania,0.025,1.6089060718815653,1.6815552710118649,1.5480945301595164,1.4628681191694763,1.4130372877342363,1.363168522452672,0.03866372439441772,0.05322092716135391,0.06361104519070465,0.07342951275967813,0.08161815691794466,0.4379974890427495,0.0011367337645068996,0.0025288746002584475,0.0038963813062616133,0.005498761959349759,0.0071866721162251995,499.25571601412764,0.006006903229346852,499.27226979244716,,,,,,,,,,,,,,,,,,,,,
