Region,Model,Mean CAR (week=0),CI lower,CI upper,Mean CAR current,CI lower,CI upper,delta weeks,Mean WAIC
US,fulllinearmodel,1.9868,0.0179,5.9937,0.0309,0.0001,0.5536,10,2113.83
US_AK,fulllinearmodel,0.0869,0.0218,0.5427,0.2127,0.0384,0.7682,3,380.57
US_AR,fulllinearmodel,0.0604,0.0173,0.3067,0.1465,0.0266,0.5913,4,651.4
US_AZ,fulllinearmodel,0.0533,0.0153,0.3162,0.1034,0.0154,0.5326,4,702.4
US_DC,fulllinearmodel,0.0517,0.0151,0.283,0.1111,0.0172,0.5515,4,674.54
US_DE,fulllinearmodel,0.0596,0.0161,0.3833,0.1111,0.0162,0.5771,4,611.75
US_GU,fulllinearmodel,0.0956,0.0211,0.5069,0.2702,0.0349,0.8323,3,320.9
US_HI,fulllinearmodel,0.0684,0.0174,0.3512,0.1537,0.0235,0.6255,3,479.39
US_IA,fulllinearmodel,0.0523,0.0151,0.3025,0.0931,0.0141,0.4858,4,680.52
US_KY,fulllinearmodel,0.0512,0.0144,0.3287,0.0675,0.0104,0.4298,4,645.72
US_MD,fulllinearmodel,0.0502,0.0145,0.3194,0.0746,0.0121,0.4349,4,840.32
US_ME,fulllinearmodel,0.0797,0.0231,0.398,0.2195,0.0464,0.7098,3,546.71
US_MI,fulllinearmodel,0.0613,0.0179,0.3389,0.2076,0.034,0.7237,5,1182.76
US_MN,fulllinearmodel,0.0687,0.0197,0.3288,0.2284,0.0422,0.714,4,776.14
US_MT,fulllinearmodel,0.06,0.0156,0.3486,0.1111,0.0151,0.569,3,427.87
US_ND,fulllinearmodel,0.103,0.0283,0.4928,0.2597,0.0585,0.7477,3,428.63
US_NH,fulllinearmodel,0.0531,0.0151,0.2989,0.0966,0.0132,0.5019,4,572.08
US_NJ,fulllinearmodel,0.054,0.016,0.2825,0.1403,0.0216,0.6277,4,1150.61
US_NM,fulllinearmodel,0.0575,0.0161,0.4005,0.1023,0.0143,0.5587,4,579.31
US_NY,fulllinearmodel,0.0536,0.0155,0.2978,0.1909,0.0273,0.7603,5,1563.98
US_OK,fulllinearmodel,0.061,0.0162,0.3358,0.1349,0.0217,0.617,3,668.83
US_RI,fulllinearmodel,0.0841,0.0205,0.9209,0.1487,0.023,0.8801,4,645.83
US_SD,fulllinearmodel,0.0476,0.0133,0.3454,0.0423,0.0077,0.271,4,542.27
US_TN,fulllinearmodel,0.056,0.0163,0.2895,0.1474,0.0239,0.6163,4,862.29
US_TX,fulllinearmodel,0.0499,0.0145,0.303,0.0725,0.0119,0.4303,4,940.2
US_UT,fulllinearmodel,0.0823,0.0208,0.6219,0.2293,0.0362,0.8378,4,603.59
US_VA,fulllinearmodel,0.0676,0.0179,0.5462,0.1304,0.0179,0.7007,4,754.02
US_VI,fulllinearmodel,0.1118,0.0178,1.0542,0.1813,0.0142,1.0576,2,205.07
US_VT,fulllinearmodel,0.0831,0.0208,0.5289,0.2225,0.0386,0.7888,3,460.52
US_WV,fulllinearmodel,0.0724,0.0182,0.4957,0.1291,0.02,0.6531,3,430.01
US_WY,fulllinearmodel,0.0702,0.0178,0.4133,0.1456,0.0211,0.6583,3,392.79
Afghanistan,fulllinearmodel,0.0743,0.0167,1.1481,0.0968,0.0131,0.9366,4,482.74
Albania,fulllinearmodel,0.156,0.0437,0.6824,0.4354,0.1063,0.8771,4,547.17
Algeria,fulllinearmodel,0.1018,0.0198,1.0249,0.2173,0.0279,0.9279,5,908.4
Andorra,fulllinearmodel,0.079,0.0198,0.5049,0.1308,0.0228,0.6343,3,511.18
Antigua and Barbuda,fulllinearmodel,0.2236,0.0225,1.2939,0.3638,0.0161,1.2598,2,108.72
Argentina,fulllinearmodel,0.0551,0.0134,0.3341,0.1054,0.0162,0.6443,4,809.14
Armenia,fulllinearmodel,0.1618,0.0383,0.6,0.3545,0.0898,0.8158,4,622.58
Austria,fulllinearmodel,0.0585,0.0139,0.4991,0.1448,0.0209,0.8053,6,1279.79
Azerbaijan,fulllinearmodel,0.0497,0.0127,0.3952,0.0423,0.0064,0.3497,5,648.5
Bahamas,fulllinearmodel,0.155,0.0216,1.316,0.2741,0.0154,1.2664,3,189.89
Bahrain,fulllinearmodel,0.0626,0.0176,0.3573,0.0814,0.0144,0.3957,6,873.29
Bangladesh,fulllinearmodel,0.0423,0.0104,0.3705,0.0275,0.0006,0.2255,4,486.79
Barbados,fulllinearmodel,0.1685,0.0285,1.0873,0.3467,0.0317,1.0398,3,234.71
Belarus,fulllinearmodel,0.0467,0.0123,0.3235,0.0363,0.0044,0.2674,5,609.55
Belgium,fulllinearmodel,0.1121,0.0291,0.6184,0.3792,0.0712,0.8835,5,1394.64
Benin,fulllinearmodel,0.185,0.0223,1.3543,0.295,0.0147,1.3088,2,130.58
Bolivia,fulllinearmodel,0.1047,0.0225,1.1064,0.1609,0.0241,0.9492,4,412.32
Bosnia and Herzegovina,fulllinearmodel,0.0574,0.014,0.4261,0.1167,0.0166,0.6737,5,642.84
Brazil,fulllinearmodel,0.1271,0.0278,0.9413,0.1894,0.0374,0.8894,5,1107.31
Brunei,fulllinearmodel,0.155,0.0282,0.6191,0.3673,0.0414,0.8995,4,365.92
Bulgaria,fulllinearmodel,0.0846,0.0189,0.4625,0.194,0.0352,0.7353,4,581.21
Burkina Faso,fulllinearmodel,0.0987,0.0243,0.4789,0.1931,0.0401,0.6574,3,529.67
Burma,fulllinearmodel,0.0653,0.0124,0.8373,0.0686,0.0026,0.8434,2,162.02
