roi,quantile,R0,Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Afghanistan,0.025,1.3484224971638836,,0.01491573387635813,0.011095569432154244,,,0.01037747730192885,0.01011193365989844,0.010799265876847262,,,,,,,1.2305775322041768,0.001134901526057696,0.0013206445177798452,,,0.0013659329148101068,0.0013565657559049737,0.0015076520214618737,,,,,,,406.1967408176698,,406.16053041179384
Afghanistan,0.25,1.9444760926401814,,0.0352548846026688,0.03210544389001921,,,0.03201739198145519,0.03259086006637532,0.03460232502453981,,,,,,,1.4302306085631522,0.002966123687074205,0.004153850583321705,,,0.004770891853351745,0.004945884073289853,0.005423213081866865,,,,,,,456.7084038313388,,456.6546784328246
Afghanistan,0.5,2.4883396925377936,,0.05935771157599003,0.05880030736950856,,,0.06106452261103299,0.06299342427816154,0.06628642624168615,,,,,,,1.547634110674759,0.005213049803320754,0.007771891498411076,,,0.009186876108142226,0.009903432227410098,0.010794715777903509,,,,,,,483.21192919018443,,483.1490136556928
Afghanistan,0.75,3.2145956342714257,,0.10622141426768224,0.11183557513653336,,,0.11804702420904199,0.12475022074025535,0.1312230636491519,,,,,,,1.675620063635157,0.009548205220032059,0.015166862192455518,,,0.018591496348839,0.020443481476513474,0.02281034886556005,,,,,,,509.7154545490301,,509.64334887856097
Afghanistan,0.975,5.175980039688079,,0.3762959737783121,0.37588308237985296,,,0.38627396539319336,0.3967432156943802,0.4101050485676803,,,,,,,1.9307280675549285,0.03771207613962829,0.05594129696784287,,,0.06788301677300487,0.07528190610370301,0.0815950649117771,,,,,,,560.227117562699,,560.1374968995917
Afghanistan,max,12.95538339168396,,1.3078604312312956,0.8245131654619102,,,0.787749175345252,0.7767987087237448,0.7784920986559755,,,,,,,2.408449963803146,0.15933010562437477,0.1934870067640841,,,0.2456045452159146,0.2192019017846852,0.2243416928187004,,,,,,,,,
Afghanistan,mean,2.688166479070336,,0.09142601645623334,0.09161489762430303,,,0.09486646246748778,0.09815694546698515,0.1027099286986844,,,,,,,1.5566135314581797,0.008481673370693717,0.01276559983648649,,,0.015345020426722946,0.01679311179714129,0.018418206228448124,,,,,,,483.21192919018443,,483.1490136556928
Afghanistan,min,1.0662976557289559,,0.003883677790472546,0.000702552795078016,,,0.0002600089356888894,0.00036309245671194173,0.0006817424158319272,,,,,,,0.9995689866440355,0.00023103164399846694,0.00016022477111319412,,,-0.021852525479292124,-0.0020287870313709226,0.00011315298897340105,,,,,,,,,
Afghanistan,std,1.0112697779437663,,0.1024946179924391,0.09795789917352324,,,0.10000377705795753,0.10237971887723464,0.10528585985264448,,,,,,,0.17963688088917565,0.010655877357403748,0.01524811390025577,,,0.018298111651837413,0.02017154857224557,0.02182494910723427,,,,,,,39.29418549524407,,39.28056017925546
Albania,0.025,1.2405842319809666,,0.03315539711366339,0.039503562974988866,,,0.04366288741796082,0.04727580160107126,0.05125986458760283,,,,,,,0.4347386050975793,0.00095622442290785,0.0018999887271701223,,,0.002654895428739537,0.0034788954828379307,0.004475767033235408,,,,,,,498.82220882123465,,499.04332432819007
