roi,quantile,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),waic,loo,Rt (week 5),car (week 5),ifr (week 5),Rt (week 6),car (week 6),ifr (week 6),Rt (week 7),Rt (week 8),Rt (week 9),car (week 7),car (week 8),car (week 9),ifr (week 7),ifr (week 8),ifr (week 9),Rt (week 10),Rt (week 11),car (week 10),car (week 11),ifr (week 10),ifr (week 11)
AA_Global,mean,-219.73054063144406,3.4885376071039462,0.4025261989257359,0.01408083741091724,0.022454783520787395,0.013603186615678005,0.08948169631931487,0.20294518570227396,37.67104060083072,1.174121462993205,3.243238838145891,2.9116772462561564,2.1592849686124858,1.7052680435568146,1.713528193144067,0.10033519520666238,0.10021405875492649,0.10313562390693733,0.10555882064297313,0.0963007344713939,0.0025088929354767555,0.004598330819181351,0.005713138093914224,0.006424121171166605,0.00618428725682306,400.8438644197835,400.9813694376007,1.5527213016292518,0.07281172654917882,0.004376027845867898,1.3908937433706343,0.05675340548221629,0.003323783218260023,1.111537184814638,1.070479798060925,0.9666701427098566,0.06159636942113521,0.07435702224018059,0.08182557974000591,0.003993626102440605,0.005388440564156996,0.005987070362874268,1.080006872345743,0.9877898833421443,0.1097927166255627,0.11828270376311595,0.008535702508255577,0.005511894897759914
AA_Global,std,192.87931419570043,1.5613225328074782,0.14731536836183487,0.015772028170650335,0.012960529359486711,0.006617685590113868,0.011141020422618707,0.08774066878588496,18.924930298721332,0.42134332798293433,1.2953702533604574,1.2084280790853084,1.1888740831944293,1.0192033355051597,1.04309498741862,0.035148734858395876,0.05308966829172719,0.06604586409890031,0.07700271672044981,0.07952530666941691,0.0022737755796305454,0.003920828404660308,0.005451169460520321,0.006903851648997956,0.007310045740451788,328.27587746696753,328.4996043425118,1.089611525204059,0.07125513831820904,0.005892626843248156,0.7733546048249283,0.05135300755396737,0.003827037088081197,0.6053531547817356,0.5552249279374665,0.5063783869656259,0.046067878172997304,0.05656264378653206,0.07450146917942986,0.003060321619380381,0.003714712665683895,0.005682401306102514,0.34975670813510434,0.35574644251655685,0.08862557810751281,0.09201354990454277,0.007172217413952854,0.005827722448413693
Afghanistan,0.025,-244.87223326104035,1.454157262387262,0.16055025533027992,0.002644158040105667,0.01746270583886183,0.015290271705389331,0.023619105636188287,0.01646011156604042,11.29946118834475,1.2341772675589286,1.2438368677412384,1.2372583705985445,1.2270792519542941,1.2154130332565107,1.1980609765238106,0.016130936625039456,0.01299976385999979,0.0123712255323918,0.012319954742724569,0.012699716663786357,0.0012057934395138194,0.0015239653590136016,0.0015964897873200256,0.001662279916704959,0.001794075616687004,406.4155299732085,406.4305270392074,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.25,-241.49523920916312,2.424283206786255,0.21769849620091744,0.006700973652960496,0.025846026889191003,0.023032994516981375,0.044925472998453314,0.16964508402637454,25.372974659865974,1.4315231228283567,2.082566706307209,2.0471326444347238,1.9956255032041366,1.9234135774484318,1.8317453497665184,0.03855323296551786,0.037972712504691336,0.03875825767946517,0.039978824796578716,0.04181732964300272,0.003207268538178389,0.004816737573924776,0.005567493636631341,0.006080746560042496,0.00666947520780855,456.5783640949933,456.6003700424245,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.5,-239.91218816912826,3.382337537317263,0.2966440847193803,0.01277306761952507,0.032571853408392644,0.02935124188938435,0.06762387430829686,0.2972609884134922,50.101307322972744,1.5469467857165564,2.938520346611504,2.87061480638826,2.748100542467273,2.5844424659472454,2.401556461703084,0.06548316391755432,0.06917715451312713,0.07260445283046386,0.07576920019194312,0.07924018803290218,0.005613755380335372,0.00899745031372717,0.010859335930287331,0.012192858424856411,0.013442487823599617,482.8988585490863,482.92454206434445,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.75,-238.4506679617421,5.06012532892175,0.4626777440286607,0.027226227799461603,0.04205445442475963,0.03847259779556038,0.10767488914565593,0.43660792563327455,86.66839342851965,1.6720836334672922,4.466795331888551,4.287346991845617,3.9910495530839896,3.61961441518396,3.2469549826771047,0.11903149500019557,0.1308002129698944,0.1388813552185408,0.1458959761354729,0.15279064254859426,0.01058692497134522,0.017578206152856816,0.021846569028498464,0.02475821474849922,0.027416054027487508,509.2193530031793,509.2487140862644,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.975,-235.9713322681342,11.194837663029723,1.2425803938685784,0.2336908058210774,0.07553105897663454,0.07081102214782392,0.32439541475401074,0.7765781047855058,255.1512602342528,1.93179730958813,10.394046869580368,10.160721412471494,9.360382183254325,8.187980216523288,6.700635511457558,0.5787472266349573,0.5441345099157041,0.5405362816448424,0.5434876298569926,0.5507576745522835,0.04944334659055302,0.07537338459782415,0.08916869082171137,0.0976074907607546,0.10393896099246104,559.382187124964,559.4185570894815,,,,,,,,,,,,,,,,,,,,,
Afghanistan,mean,-240.04488306569675,4.160201797669124,0.39972781419324954,0.03502806613307435,0.03606090348768201,0.032875733432200516,0.0947968721261905,0.31874594436962933,69.58158761101558,1.5564910192957178,3.68854288523546,3.585657452019751,3.385919141658902,3.100935643280017,2.7822718684879226,0.11212792316959645,0.11362298464785332,0.11717156507307452,0.12080702890928974,0.12499934659746362,0.009912957783221737,0.015548704108690903,0.018717743293485852,0.020872397169740126,0.022766145718099408,482.8988585490863,482.92454206434445,,,,,,,,,,,,,,,,,,,,,
Afghanistan,std,2.276412410548919,2.6866313879686694,0.3273727983535117,0.09527658863035685,0.01568656907497811,0.015408141315316117,0.1254293558600007,0.2043987614012765,79.79498030605696,0.17857340578210165,2.538718283367189,2.504288906173252,2.3502059365427943,2.0364988868934377,1.6146286977889324,0.1495113999130663,0.13326688222395477,0.13218678820825924,0.13290087994007166,0.1345466306294357,0.01420494886905355,0.020004666929006765,0.023365794633966496,0.025536454739979054,0.027203177843057456,39.022823469802745,39.028275840021585,,,,,,,,,,,,,,,,,,,,,
Albania,0.025,-277.83574431498846,1.6089060718815653,0.19575808005113496,0.0029530277624092893,0.047824895534653196,0.00949412248551152,0.025212154451706346,0.012805038953698548,5.829037963145701,0.4379974890427495,0.9919509959496632,0.9132223825696199,0.862947244594575,0.8335519914480982,0.8041343610908984,0.03866372439441772,0.05322092716135391,0.06361104519070465,0.07342951275967813,0.08161815691794466,0.0011367337645068996,0.0025288746002584475,0.0038963813062616133,0.005498761959349759,0.0071866721162251995,499.27226979244716,499.25571601412764,,,,,,,,,,,,,,,,,,,,,
Albania,0.25,-272.7014119070897,2.7557115730590818,0.2712763244837478,0.007909261554073718,0.06529785249211573,0.012665504283131164,0.050490536039491773,0.06768285564464827,19.724286087363726,0.5441637323904251,1.6106222114366044,1.4508055846619452,1.3321630107608646,1.2346760519444346,1.1465629401677868,0.08891467381131554,0.13270947808778025,0.16348402365086068,0.19409531017403742,0.22276180614007027,0.002766947251179211,0.0067116688694265954,0.010479060283107099,0.014891166510188587,0.02011718974745849,531.0227555192866,531.0161956730755,,,,,,,,,,,,,,,,,,,,,
Albania,0.5,-270.31709836228515,3.950218611330879,0.3869478593693602,0.01687009893614253,0.07857685067388248,0.01492568142343103,0.07927834138799113,0.10695322184516837,34.410605678644515,0.6074777195046436,2.494571035292175,2.2699894493051938,1.9984273325345168,1.732912837707286,1.524204721657855,0.1420682467724559,0.2122859446107819,0.2610390224250755,0.30949090813227664,0.3538141165457649,0.004497120896461842,0.010980703818718367,0.017073697547268722,0.024098778077635476,0.03222497974551523,547.6822704394199,547.6809544204215,,,,,,,,,,,,,,,,,,,,,
Albania,0.75,-268.2407133359546,6.536724621012704,0.8104344531980481,0.038063451151582654,0.09613499903063863,0.017787909630707494,0.13484587458721303,0.16968801656997828,40.46808608383272,0.6758358781621648,4.7828086675377035,4.379182887942179,3.8005598650824854,3.1214765358569556,2.467252558789679,0.23397647829220222,0.33511337381538187,0.39807417270344636,0.46205227887943173,0.5192222034538327,0.007534444104188759,0.017966906147002894,0.02701418756279026,0.03688196811565274,0.04811608284827227,564.3417853595531,564.3457131677674,,,,,,,,,,,,,,,,,,,,,
Albania,0.975,-265.01762024625447,13.439460854152843,1.6255021640984906,0.1784158603794279,0.151169993493662,0.02609667354482082,0.4496089017088706,0.3350068983461482,47.334694299059024,0.8212457770581919,10.525131303677092,9.985259009669612,9.217265175695301,8.208473157295685,6.768782791066225,0.5884609740463516,0.6862966432113291,0.7271174526430246,0.7660779586921258,0.8065102882836624,0.01940624806378493,0.040222949963627144,0.054466341476554644,0.06771096745378581,0.08272578611360558,596.0922710863925,596.1061928267152,,,,,,,,,,,,,,,,,,,,,
Albania,mean,-270.62327344033343,5.0541422523224195,0.5789400582445237,0.03515958323409848,0.08392295367746688,0.015651888167993417,0.11709947932686221,0.1272227596598998,30.60028137075994,0.6133603333341364,3.540824008574168,3.2732321149480095,2.9356311591480853,2.5521734383976966,2.1406129510194645,0.18493135987102266,0.25471720668181685,0.29842305595142893,0.3419152380589322,0.38172607111190604,0.0059646404895876606,0.013778157186963562,0.020418493022030505,0.027606184238917735,0.03586815554876948,547.6822704394199,547.6809544204215,,,,,,,,,,,,,,,,,,,,,
Albania,std,3.4953512944055323,3.236420011704367,0.4305310500363421,0.06525898466169362,0.02735854833381281,0.0042681723836066636,0.1265219166387671,0.08324313209314177,15.68789836680596,0.09829737452781093,2.683930895455283,2.573880984311019,2.3829908635668087,2.088937962364512,1.6515875188314695,0.14169791530133705,0.16491752922215186,0.17555564956365327,0.18733940307171365,0.19875047479331678,0.004838409200427622,0.009973060132924965,0.013470737840884829,0.016696105257521375,0.020365326704284974,24.699433779816655,24.70720828967567,,,,,,,,,,,,,,,,,,,,,
Algeria,0.025,-455.69950885256907,1.6009116246594017,0.20653545382704075,0.0033387665582028667,0.038894237240268886,0.019629018450935242,0.023823341746353317,0.008440549931517521,9.90016594893196,0.9079783223561773,1.3290264083314867,1.2965070769570193,1.2711433904036191,1.25177318790263,1.2277997043928255,0.01796487323738578,0.015478862026325646,0.0157576957805262,0.017344809933442614,0.02061328523260272,0.0013758851698471442,0.0015388404701036364,0.0016435103639714827,0.0019637128304742296,0.0027175182252195266,822.1170953312763,822.2000327736052,1.1984520908944352,0.024816397624328225,0.003866738712572479,,,,,,,,,,,,,,,,,,
Algeria,0.25,-452.23358227626466,2.6789025432813065,0.26576005692440263,0.008052018487459452,0.056578470382360156,0.02748914489607819,0.04653937339990179,0.09661881767159461,33.469062449995924,1.009507462787812,2.146372749757228,2.0575126358712366,1.9806465250879306,1.9002504103304885,1.818286709318604,0.04721053447345359,0.05223847022194564,0.05705416413284941,0.06360458181326809,0.07422725209602668,0.0036478112023115698,0.005517530073662469,0.006644099037924222,0.007969365681017306,0.010416880083179382,878.8623581151417,878.9759839847636,1.7401908833488264,0.08813664787610452,0.014221483766879216,,,,,,,,,,,,,,,,,,
Algeria,0.5,-450.6116115995052,3.642288226006512,0.3197462550207737,0.015067917806670342,0.06989449426908609,0.033325003485458554,0.07027508586319817,0.18760904920244628,56.14363376536391,1.0675500883827094,2.9463310105263307,2.8328353540503173,2.690470679343243,2.5188215272727064,2.3548922712802955,0.08133684675558676,0.09763584852556506,0.10996798228421768,0.12430400182285929,0.14227660111572726,0.006297307631111773,0.010616156381406054,0.013476671436974471,0.016365239050906664,0.020707286722601234,908.6366601566236,908.7663882779331,2.214296474163399,0.16574183361658681,0.027091057623480283,,,,,,,,,,,,,,,,,,
Algeria,0.75,-449.35542951018095,5.315058147177425,0.5259316573560384,0.03161898505577021,0.08805938069910565,0.04092560026901889,0.11144994624543297,0.28481183097953466,61.406686020641615,1.1289706866055154,4.453280370604691,4.216180975289534,3.8636444658053692,3.5132834672487157,3.1950445021198592,0.14511580552303366,0.17744719527957153,0.19709942535355424,0.22373957907630004,0.2628893338966274,0.011283350640260693,0.019832519412244034,0.02523088537132413,0.030483205267980963,0.03843039603614431,938.4109621981056,938.5567925711024,2.947163250829394,0.30514186507579566,0.04979054012883459,,,,,,,,,,,,,,,,,,
Algeria,0.975,-447.73589294978717,12.283281620176965,1.31319536648081,0.19528193770495508,0.146748770442794,0.06362390864883344,0.3169507053421461,0.5211208295236018,112.22605427884119,1.2569979625251557,10.49519390231103,9.722368343560614,8.536388199482314,7.218734385691351,6.150800319962798,0.5800569540280299,0.5884574666711567,0.5976533797394089,0.6072347740388137,0.6305836317629522,0.0420323092570845,0.0667367441190316,0.07877831710343525,0.08587277999092652,0.09528239887452075,995.1562249819709,995.3327437822609,5.500844211745219,0.6738686695984759,0.11340859615355364,,,,,,,,,,,,,,,,,,
Algeria,mean,-450.92870836150985,4.491434857053594,0.45394853282579356,0.034368764254588596,0.07573639592520634,0.035430112868845356,0.09493818692500962,0.20378035099541697,52.33604145275331,1.0714090331088777,3.733429244044408,3.5312140825982365,3.261241887313286,2.967976849493787,2.707226696157301,0.12574563593848476,0.14269738322388964,0.15399947809789172,0.16845232928235968,0.19049042823703394,0.009711750869459225,0.01607896343126622,0.019814944339961085,0.0231833952121843,0.02818426097707938,908.6366601566236,908.7663882779331,2.5119851040674,0.21843629612028007,0.036087565638260155,,,,,,,,,,,,,,,,,,
