roi,quantile,R0,car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),extra_std,ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),loo,q,waic,car (week 5),ifr (week 5),car (week 6),ifr (week 6),car (week 10),car (week 11),car (week 7),car (week 8),car (week 9),ifr (week 10),ifr (week 11),ifr (week 7),ifr (week 8),ifr (week 9)
AA_Global,mean,3.494586705322678,0.10023076803198637,0.10073227953270597,0.1034927048661367,0.1053650152984626,0.09604789692171335,1.1730574705232555,0.0023787735081602134,0.004541780829658603,0.005677629421005116,0.006294319583666134,0.0060540720412865625,401.00648353063934,0.07137909920880756,400.8736151229552,0.07245569957936487,0.0043915744535484086,0.055108563755538874,0.0033100626936802286,0.10446380896996611,0.0841991768876849,0.05718007744999035,0.06588955082804329,0.07008472652409967,0.007296774532162127,0.0038297440128116497,0.0038509420319795817,0.0048304807642660895,0.00491946327519486
AA_Global,std,1.54127252359,0.03455268850358119,0.05266700601083732,0.06595075042778094,0.07698794779807219,0.07971376452391124,0.42074158577808135,0.0022319619494726274,0.0039015596662924845,0.005465497520779831,0.006920984668459455,0.007340405741959388,328.48413806263454,0.028868583653776637,328.25328029530766,0.07137158011181903,0.005964506379357309,0.05208947000543913,0.0038721153399904535,0.0997946259697514,0.08327772310716833,0.04800908923661185,0.060984421662110565,0.07858629135859443,0.00779729382000059,0.004922213953699242,0.003118744517389701,0.004018559226867536,0.005827297754944268
Afghanistan,0.025,1.4684179309701175,0.016030338973265668,0.012980761109099126,0.01233092019850273,0.012318172071664713,0.012676200781565528,1.2310657989409677,0.0011993073008865246,0.0015185493604350532,0.001591128282554827,0.0016592005519739726,0.0017899645197043993,406.45706342628466,0.002705322836145466,406.44277644895294,,,,,,,,,,,,,,
Afghanistan,0.25,2.446412439255175,0.03825621592726322,0.037565552203394366,0.03822551576503358,0.03945832269282751,0.04121728660259426,1.4311447218354845,0.0031564475515311174,0.004729419596160989,0.005464926802890435,0.0059681635030745745,0.0065453999849019165,456.5986335720931,0.02724047882132767,456.57789337945684,,,,,,,,,,,,,,
Afghanistan,0.5,3.436230056382435,0.0648158981028975,0.06849719347568849,0.07185316642240006,0.07499573374779078,0.07847722213458458,1.5457499175463711,0.005572713813248073,0.008925053372386863,0.010759403264975105,0.012046800765767435,0.013271382309670015,482.90797079451147,0.06437147915508376,482.8838445926791,,,,,,,,,,,,,,
Afghanistan,0.75,5.090349353887416,0.11838383656109613,0.13001185292152231,0.138042252206557,0.14513608757350027,0.15174365332769746,1.668763668007208,0.010543120311445782,0.017473838213593076,0.021653829987419392,0.0246751385083649,0.027274253160654467,509.2173080169298,0.12869853333184722,509.1897958059015,,,,,,,,,,,,,,
Afghanistan,0.975,11.222403341642375,0.5659235143499471,0.5347245249752076,0.5323516741548386,0.5346290924518627,0.5404996901546585,1.9326094299383685,0.048411130232971264,0.07397214199136735,0.08759859612944099,0.09639713986668755,0.10285624310970237,559.3588781627382,0.3317229889608506,559.3249127364053,,,,,,,,,,,,,,
Afghanistan,mean,4.188305167449953,0.11117925533242914,0.1126443922031961,0.11616135856896467,0.11981770574938817,0.124025504889583,1.5551570674559594,0.009858621705451605,0.015457673503921115,0.018602300408158776,0.020749857272904872,0.022646097880223055,482.90797079451147,0.09207362133698484,482.8838445926791,,,,,,,,,,,,,,
Afghanistan,std,2.65750676683058,0.14709628225776517,0.131690855070004,0.13068431969404523,0.13148526373367994,0.1332356617453058,0.17884229992614548,0.01411091309231577,0.019981851349464338,0.023358880998369767,0.025541841400519943,0.027236844096917165,39.00628173336946,0.0898915351370753,39.001261628623574,,,,,,,,,,,,,,
Albania,0.025,1.6136668955008668,0.038514079429425585,0.052517074898072266,0.06342035874361328,0.07395547560382264,0.08203918301037709,0.4367150853364315,0.0011302224382224114,0.002501286979392937,0.0038818321559218323,0.005461037572453826,0.007177763576319343,499.2048918569652,0.002171411079499226,499.21435043526805,,,,,,,,,,,,,,
