roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Afghanistan,0.025,1.6100407778703292,1.6100250758315835,1.6100678978504521,,,1.6050182200758254,1.5935178546360944,1.5624599150885534,,,,,,,0.015994245452033904,0.013359256921841471,,,0.012801335852245941,0.01292889540960123,0.013383115645492077,,,,,,,1.23137790720042,0.0011809346780556722,0.001541311553437858,,,0.001618186574437312,0.0017283158783016042,0.0018579208965254681,,,,,,,406.4401940840646,0.005509893479481508,406.43173146917394
Afghanistan,0.25,2.7176862456912056,2.7152545885746644,2.7111143794783743,,,2.681748613489636,2.603886815345268,2.463560548183118,,,,,,,0.036279062159917046,0.03462217175379559,,,0.03497164862632664,0.036305417681794044,0.03833400218921929,,,,,,,1.428578497764742,0.003044359528358064,0.004370454681882108,,,0.004933711994838635,0.005424311711163076,0.006075830575341656,,,,,,,456.55468040368936,0.06010584917390763,456.5423517155982
Afghanistan,0.5,3.7416861961188657,3.735252001096279,3.720250547559489,,,3.6471590597565404,3.497096839092821,3.247848152309917,,,,,,,0.06169367925964162,0.062429042330762255,,,0.06492797004895273,0.06781013188288648,0.07151398338638845,,,,,,,1.544022706975872,0.005330939737681714,0.008064031307157323,,,0.009480484126901384,0.010672649115556938,0.011949478343544047,,,,,,,482.8498067126029,0.145307486674937,482.83544949163445
Afghanistan,0.75,5.267112256846135,5.24794611985718,5.197423252387736,,,5.042812971232653,4.725909996659112,4.30110526293424,,,,,,,0.11345081810532462,0.11837763925473468,,,0.12391436041460618,0.12929787447797703,0.13469883626338897,,,,,,,1.671698551366961,0.01018059234232146,0.01595653674627196,,,0.019248076122550667,0.021785444834672534,0.024265980157024334,,,,,,,509.14493302151647,0.28832512413776423,509.1285472676707
Afghanistan,0.975,10.643020393850021,10.51513773177497,10.181833020697274,,,9.55613104400443,8.522547514004668,7.316424235883449,,,,,,,0.49167977956921854,0.47700297958098004,,,0.4819291747514739,0.4887229582958366,0.4950999559902505,,,,,,,1.9330248366719003,0.042338364643371616,0.06412014470310563,,,0.07787910944604524,0.08735634966783656,0.09375282767330291,,,,,,,559.2594193411412,0.7574564127512524,559.239167514095
Afghanistan,max,53.91997329925328,52.80371353227584,49.71399053999197,,,40.580070666579395,24.494603282369784,18.379730986154435,,,,,,,1.950775506332428,1.1101339007815638,,,1.0197246105521502,0.9824048649311968,0.9654485579307238,,,,,,,2.358485185837685,0.31709922124691514,0.33941974692337823,,,0.34959314043950895,0.3531354369093766,0.3548043685128321,,,,,,,,2.1481287062981744,
Afghanistan,mean,4.35087333978556,4.329603586584085,4.278383161677416,,,4.14669341264207,3.8968276205677475,3.553091591846438,,,,,,,0.10339854909915912,0.1031286546044364,,,0.10612533727139796,0.1094753531426029,0.113261921066994,,,,,,,1.5550627816080715,0.009131508346209034,0.013861728542158822,,,0.016565448591685454,0.01858306494998881,0.02040364110026351,,,,,,,482.8498067126029,0.20628463710968198,482.83544949163445
Afghanistan,min,1.031642460537124,1.03164245537194,1.0316424395912704,,,1.0316423755975055,1.0316421160900882,1.0316410637372007,,,,,,,0.004106582466542437,0.0016777997564194228,,,0.0014117532125198467,0.0013386479974182906,0.0013185768492517918,,,,,,,0.9908876205236239,0.00024493925252155576,0.00024159364812378822,,,0.00022302948476209,0.00021720064900755041,0.00022671742515896308,,,,,,,,2.2705308780168135e-05,
Afghanistan,std,2.463002249864562,2.4213475817193144,2.333829381895459,,,2.1405783761168364,1.8405517908618023,1.5188421901819624,,,,,,,0.13518861718372155,0.12354909118297344,,,0.1237683020371464,0.12466842401841535,0.125586985166474,,,,,,,0.1798278519922792,0.012628380529046567,0.017816400085253807,,,0.02118757270904879,0.023414817363930245,0.0249536614571235,,,,,,,38.98521260148022,0.20246879851040636,38.98220509413606
Albania,0.025,3.2731755988579816,3.272905154408036,3.2716298945793683,,,3.2687022412077154,3.2024298405078846,2.945191180248414,,,,,,,0.02865188418931404,0.04157212019046333,,,0.05446858842690012,0.06363008236736963,0.06914005160806379,,,,,,,0.48967830528248096,0.0008401457652745304,0.0019052840573318295,,,0.0033901605390292975,0.00487335893011629,0.006150687143257587,,,,,,,503.97359865926336,0.004315454876416744,503.743915638595
