roi,quantile,R0,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Afghanistan,0.025,1.4134467781730833,0.01633274598731396,0.013168546934502588,,,0.012494479144011939,0.012520505352394485,0.012664873350704016,,,,,,,1.233972230101865,0.0012339535625061635,0.0015425531440680334,,,0.0016112370140099772,0.0016963864922029538,0.0018091455186058857,,,,,,,406.4941421857425,,406.48301080289923
Afghanistan,0.25,2.3797019759714284,0.040459694430109217,0.0415158378286034,,,0.04265993394249151,0.043911170208697545,0.04547933391768141,,,,,,,1.4317796574389448,0.003293837798777112,0.005198172683649541,,,0.006111251912156441,0.006743805231781726,0.0072670216806820145,,,,,,,456.58180847219745,,456.5655304229851
Afghanistan,0.5,3.4251179223420225,0.06798057723403474,0.07587658217422613,,,0.08037994379472468,0.08388243376780631,0.08727799563995217,,,,,,,1.5459617598689959,0.0057418030995705985,0.009759379145887518,,,0.012022230718498308,0.013557105125545168,0.014742857749300243,,,,,,,482.8628622800918,,482.84388376935254
Afghanistan,0.75,5.346590940433082,0.1191059634363581,0.13723185487895798,,,0.14727507661080827,0.1549239086418193,0.16192633358625733,,,,,,,1.6687609549087534,0.010525831913948108,0.018398819553419755,,,0.023210145610357863,0.026715968634640257,0.029285080800458628,,,,,,,509.14391608798616,,509.12223711572
Afghanistan,0.975,12.63165193448416,0.37140277972067276,0.3954797445047554,,,0.410424731267756,0.4227849730621399,0.43459221185180164,,,,,,,1.9364090072309437,0.03587884634123401,0.05677031913869748,,,0.07017485775098359,0.07930792161537195,0.08695647198590015,,,,,,,559.2315823744411,,559.2047567358059
Afghanistan,max,45.29415730033884,1.6918938329806896,0.9448736654487017,,,0.8370845456332738,0.8199897205376231,0.8137523984157955,,,,,,,2.343799022870474,0.18944808789872974,0.22392807662026046,,,0.25057009345647757,0.2719518661152534,0.28267925275782707,,,,,,,,,
Afghanistan,mean,4.378434223170179,0.09921304917323884,0.10763590230420118,,,0.11329513528246944,0.11791591112905735,0.12256107409466246,,,,,,,1.5560072929210904,0.008878203834701205,0.014754762297588207,,,0.018228928687900724,0.020617615629864763,0.022586211580586872,,,,,,,482.8628622800918,,482.84388376935254
Afghanistan,min,1.018142881277191,0.0026809685764184257,0.00015153488468627223,,,9.184104896955177e-05,0.00011815415064111085,0.00014489092362231335,,,,,,,1.0122432220398632,0.00014889523890889166,1.97580209994961e-05,,,7.798934222870029e-06,1.2625760770075299e-05,2.0880415106875692e-05,,,,,,,,,
Afghanistan,std,3.060139257378457,0.10199441721392476,0.1017988367790027,,,0.10506891167461228,0.10793417000397343,0.11158339386012577,,,,,,,0.17885860841096707,0.01038871579053343,0.015773461500071074,,,0.019297843305925756,0.021699343514842786,0.02365454257673057,,,,,,,38.964348680249245,,38.96034496999848
Albania,0.025,1.823366429677363,0.04203339898173994,0.06122852373685607,,,0.07584826049086993,0.09024893841335975,0.10090360424232524,,,,,,,0.43792212476596554,0.0012505071745492822,0.0029330957905413318,,,0.004681943087041912,0.0067175024453669,0.00883822357283785,,,,,,,499.6400110164618,,499.52504555525445
Albania,0.25,3.164923981285894,0.09374023719179614,0.14669361304817402,,,0.1839443390532224,0.22092487961005178,0.25547516604177356,,,,,,,0.5465847881850151,0.002923451919139023,0.007345010398872021,,,0.011787068579203227,0.01697753854762169,0.022963103184321633,,,,,,,531.4481821347705,,531.2989806074748
Albania,0.5,4.522155312544879,0.1428393478194534,0.22109112283032678,,,0.2776784180268026,0.3324338397642452,0.38128523906909084,,,,,,,0.6100376061084053,0.004524580574105881,0.01144757636889061,,,0.018279529678881627,0.025905977488578646,0.03495040590961698,,,,,,,548.1379646435045,,547.9707994145285
Albania,0.75,7.6131143563437575,0.2174347143075446,0.3206506609185562,,,0.38888340576301567,0.45919839127015305,0.5248595528223636,,,,,,,0.6796018163024654,0.007072074551653839,0.01742796228940454,,,0.02665674873246599,0.03698653964532583,0.04915152242460366,,,,,,,564.8277471522384,,564.6426182215822
Albania,0.975,17.472947145202575,0.4654443439832665,0.5947219464960475,,,0.6471785039864884,0.6944037960732845,0.7474941703643975,,,,,,,0.8234852306904156,0.015846349921306183,0.03566259625657456,,,0.05000156883533178,0.06317315632910057,0.07842576240683233,,,,,,,596.6359182705471,,596.4165532738026
Albania,max,47.28865676285665,0.9351020100643312,0.9071282000931831,,,0.9151080896571224,0.9235838277864284,0.9410883150315225,,,,,,,1.100681192980456,0.0424221402889098,0.07960832127996507,,,0.10767218121469581,0.125854457546138,0.13816185710729328,,,,,,,,,
Albania,mean,6.014612282736234,0.17132718653462353,0.2487844241087149,,,0.2989306232671894,0.34834449430476644,0.39477940139952716,,,,,,,0.6162093943352611,0.005572769986159773,0.0134789699547336,,,0.02054138227275299,0.028245175287988762,0.0372171320665607,,,,,,,548.1379646435045,,547.9707994145285
Albania,min,1.1222182006810886,0.009944719336381658,0.012341505712596082,,,0.01647996962631151,0.014574560816303322,0.005813027411242352,,,,,,,0.2836106432421842,0.0003246593508470661,0.0005739447023773609,,,0.0010096465695065184,0.001196317667506421,0.0005523728016259607,,,,,,,,,
Albania,std,4.225736768381042,0.11084094757331504,0.1385862259047534,,,0.1502197342730076,0.16272939534998032,0.17693449278274131,,,,,,,0.09903080364585715,0.003897227282352105,0.008597065767119653,,,0.011929951808323637,0.01493210719080055,0.01854014248325111,,,,,,,24.744308573824995,,24.717675549861127
Algeria,0.025,1.6178202211453327,0.0186022893380328,0.0151026997870261,,,0.01572117299639899,0.017528085371703906,0.020812090369499072,0.024697222929373378,,,,,,0.9098005196407452,0.0014577264354405839,0.0015637831318342104,,,0.001654778428251445,0.002023792661418216,0.0027879655857366245,0.003952141861351556,,,,,,822.2373212639321,,822.2010484284953
Algeria,0.25,2.69781661074392,0.05310581179999363,0.06274364982569595,,,0.06915654749995623,0.07714026975436908,0.08801160662485447,0.10302273716710728,,,,,,1.0111323598643494,0.004030309089993237,0.006674687324964411,,,0.008184987223369404,0.009870231879391945,0.01258376531354073,0.016609003536602062,,,,,,878.8624702479914,,878.8059490165034
Algeria,0.5,3.728570926084822,0.08960917146185705,0.1147098751880368,,,0.1311857094742626,0.14912289819015706,0.168959156388769,0.19308913526340854,,,,,,1.0697160594789656,0.006811672129784686,0.012410426246804737,,,0.016166204733179035,0.01996978867281703,0.024628793377638986,0.03114631018557449,,,,,,908.5737484460841,,908.5066028588296
