roi,quantile,R0,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Afghanistan,0.025,1.5099658979783421,0.0157632804918261,0.01318024211265415,,,0.012570500723744087,0.012601198865028543,0.013072774339507681,,,,,,,1.2306661875027949,0.0011573697991717079,0.0015186745088970291,,,0.0016135333667163364,0.0017026402518730717,0.0018419016499025985,,,,,,,406.5510094035094,,406.5424494328284
Afghanistan,0.25,2.503453004867696,0.03557379794591201,0.033602774754450414,,,0.0337412898605813,0.03498219125259344,0.03692948183997971,,,,,,,1.4316076744608257,0.0029762519745246793,0.004230191598469335,,,0.004752712326263211,0.005194700092293622,0.005806307643712296,,,,,,,456.6572794367055,,456.64514679560307
Afghanistan,0.5,3.420286877196392,0.059064828897975444,0.05934576508930327,,,0.06132741388446397,0.06404452127704505,0.06729594266629335,,,,,,,1.5456591188117954,0.005131630512615716,0.007724765998696759,,,0.008990607284133333,0.010086036341858617,0.011310068097041978,,,,,,,482.9480946510574,,482.93408742583983
Afghanistan,0.75,4.767139721730876,0.1041809788773784,0.10838196606495591,,,0.11403418921784128,0.11932133054654061,0.12454911999350346,,,,,,,1.6694633953730684,0.00937981331277894,0.014569984085831503,,,0.017522821877336288,0.019835368255348575,0.02214561124319048,,,,,,,509.23890986540925,,509.2230280560766
Afghanistan,0.975,9.174655759486443,0.36164612124155765,0.3544064507295805,,,0.3631147948176934,0.37056772129040794,0.3823716579241832,,,,,,,1.9364597811115394,0.03497534681708999,0.051228868189566824,,,0.06131178361565787,0.06944585568571202,0.07615680443924337,,,,,,,559.3451798986054,,559.3257254188512
Afghanistan,max,20.97769113667683,1.9386136615624436,1.028774176295493,,,0.8783858832791596,0.8400649819974669,0.85194181858056,,,,,,,2.3520044543784278,0.2549672967655837,0.23199740782875455,,,0.2640519000617828,0.28010672254171587,0.2879394097833569,,,,,,,,,
Afghanistan,mean,3.9175023765285877,0.09088377910967747,0.08955970718098683,,,0.09235500127709668,0.09577035539802853,0.09978686333722289,,,,,,,1.5558257022071478,0.008381497508437837,0.012273353613588622,,,0.014495113641838045,0.016275301237691865,0.01802665789178413,,,,,,,482.9480946510574,,482.93408742583983
Afghanistan,min,1.0461997069051356,0.004593739996268255,0.0026757650336143583,,,0.0024459224545278504,0.00243090106720927,0.0024570549663265897,,,,,,,0.9883442064886231,0.00025969985642509323,0.00023866202686599334,,,0.000244008217039004,0.0002364539510534861,0.00023084344005937617,,,,,,,,,
Afghanistan,std,2.0305836775308013,0.1103851184112884,0.09422386195656299,,,0.09488412674395359,0.09676547823693123,0.09905531259096542,,,,,,,0.18014468903741063,0.01176545930123443,0.01459402862554788,,,0.016812429279724598,0.018662334445403522,0.020301715830238726,,,,,,,38.97882096311892,,38.976041700551086
Albania,0.025,2.9281009888353435,0.028863841078907316,0.04160994946783317,,,0.05443366322779306,0.06392744609260612,0.07039883188857188,,,,,,,0.48819104245129424,0.0008584065033885853,0.0019416776660179018,,,0.0034722343618880016,0.0050386450680530446,0.0063621020793700805,,,,,,,503.9272321835303,,503.65252928747844
Albania,0.25,5.488670964268602,0.06729877694923161,0.10401286932491892,,,0.13684307859439576,0.160447802201462,0.17593037702921283,,,,,,,0.5951276781921883,0.0020876536984732975,0.005255631883036403,,,0.009261251637614187,0.013253418484737649,0.016551956358333092,,,,,,,536.5775638790923,,536.194622831839
Albania,0.5,7.594069178429548,0.10850824481161109,0.1687861038227154,,,0.2164530219649824,0.2499528996597018,0.2723757388833926,,,,,,,0.6574301040800564,0.003484546737125723,0.008912368983078116,,,0.0151855550873005,0.021278699631224446,0.026184198516326307,,,,,,,553.7092289726347,,553.2694952479281
Albania,0.75,10.375024878384332,0.181445294151762,0.2744795973398299,,,0.33687562940745114,0.3778520308597113,0.40514445986944136,,,,,,,0.7227979350496597,0.005924246952979344,0.01500137419339059,,,0.02448387821956508,0.03304572618028019,0.04004251434674312,,,,,,,570.8408940661772,,570.3443676640173
Albania,0.975,18.605881714793025,0.43848524703128877,0.5693778093505426,,,0.634751330659273,0.6742282837410294,0.6960569714607728,,,,,,,0.8660464331314068,0.015199053867664125,0.03462879326160674,,,0.051183607757948966,0.06473617905286873,0.07485432815401566,,,,,,,603.4912257617391,,602.8864612083779
Albania,max,45.79000057058617,0.9506121558002416,0.9070922423255853,,,0.9115944298378631,0.920012122855682,0.9324988802117812,,,,,,,1.1180714155495755,0.046056050997083466,0.0804050478439674,,,0.10326836389932,0.12445553643317488,0.13959366074444446,,,,,,,,,
Albania,mean,8.38765698051703,0.14084764731709298,0.20633819931878944,,,0.2523165411472361,0.28375387796926876,0.30455157806583094,,,,,,,0.6621799109731069,0.0046415666856002655,0.011392960452436207,,,0.01849021774220634,0.024901514603250404,0.03014456214197899,,,,,,,553.7092289726347,,553.2694952479281
Albania,min,1.396016489869011,0.011160829613641796,0.011334927479307274,,,0.012164543388700407,0.012669844156355874,0.012955540451631881,,,,,,,0.30991857054416144,0.00032098189502778845,0.000601720041061916,,,0.0009520534098247466,0.0011512662745116079,0.0012979444167579971,,,,,,,,,
