date,cum_case,cum_death,cum_recover,active
20200305,1,0,0,1
20200304,1,0,0,1
20200306,5,0,0,5
20200308,8,0,0,8
20200307,8,0,0,8
20200309,12,0,0,12
20200310,13,0,0,13
20200311,21,0,0,21
20200312,23,0,0,23
20200313,39,0,0,39
20200314,51,0,0,51
20200315,56,0,0,56
20200316,57,0,0,57
20200317,64,1,0,63
20200318,83,2,0,81
20200319,143,3,0,140
20200320,194,5,0,189
20200321,304,5,0,299
20200322,334,5,0,329
20200323,352,8,0,344
20200324,410,9,0,401
20200325,974,12,0,962
20200326,1396,18,0,1378
20200327,1731,23,0,1708
20200328,2052,27,0,2025
20200329,2552,34,0,2518
20200330,2877,34,38,2805
20200331,3266,41,38,3187
20200401,3997,58,38,3901
20200402,4669,70,38,4561
20200403,5330,90,38,5202
