Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),R current (CI),CAR current (CI),IFR current (CI),delta weeks
Philippines,"3.6 (1.6, 7.2)","0.22 (0.06, 0.67)","0.0076 (0.002, 0.0237)","4.7 (1.9, 11.3)","0.37 (0.08, 0.85)","0.0408 (0.0089, 0.1049)",4
Poland,"3.2 (1.5, 6.6)","0.12 (0.03, 0.49)","0.0035 (0.0009, 0.0151)","3.8 (1.7, 9.2)","0.22 (0.04, 0.85)","0.0183 (0.0034, 0.0719)",4
Portugal,"4.6 (2.1, 9.6)","0.05 (0.02, 0.24)","0.002 (0.0005, 0.0104)","4.7 (2.1, 9.5)","0.17 (0.03, 0.81)","0.0212 (0.0035, 0.1096)",5
Qatar,"9.7 (3.3, 31.8)","0.11 (0.03, 0.53)","0.0044 (0.0009, 0.0228)","2.3 (1.3, 5.0)","0.31 (0.05, 0.92)","0.0353 (0.0053, 0.1271)",5
Romania,"4.0 (1.9, 7.9)","0.05 (0.02, 0.24)","0.0014 (0.0004, 0.007)","4.1 (2.0, 8.0)","0.09 (0.02, 0.58)","0.006 (0.001, 0.0402)",5
Russia,"2.4 (1.1, 6.3)","0.04 (0.01, 0.97)","0.0019 (0.0004, 0.048)","2.7 (1.3, 6.0)","0.0 (0.0, 0.08)","0.0 (0.0, 0.0053)",9
San Marino,"4.9 (1.4, 14.0)","0.1 (0.03, 0.43)","0.0112 (0.0024, 0.0569)","1.4 (0.9, 3.1)","0.23 (0.04, 0.94)","0.0722 (0.0122, 0.3114)",5
Saudi Arabia,"4.7 (2.1, 10.9)","0.06 (0.02, 0.29)","0.0014 (0.0004, 0.0075)","3.9 (1.7, 8.6)","0.14 (0.02, 0.69)","0.0095 (0.0013, 0.0499)",5
Senegal,"3.3 (1.7, 6.9)","0.05 (0.02, 0.28)","0.0029 (0.0007, 0.0173)","3.2 (1.5, 6.8)","0.1 (0.01, 0.57)","0.0098 (0.001, 0.0606)",5
Serbia,"6.8 (1.8, 24.7)","0.14 (0.03, 1.0)","0.0091 (0.0019, 0.0674)","3.2 (1.5, 9.0)","0.22 (0.05, 0.92)","0.0349 (0.0063, 0.1572)",4
Singapore,"3.9 (1.7, 8.9)","0.06 (0.02, 0.47)","0.002 (0.0005, 0.0162)","1.8 (1.0, 3.5)","0.01 (0.0, 0.36)","0.0005 (0.0, 0.0178)",11
Slovakia,"7.8 (1.9, 24.6)","0.18 (0.04, 0.98)","0.0109 (0.0022, 0.0686)","2.7 (1.3, 7.7)","0.33 (0.07, 0.94)","0.0531 (0.0099, 0.1935)",4
Slovenia,"7.2 (2.8, 18.1)","0.09 (0.02, 0.4)","0.0036 (0.0009, 0.0172)","4.2 (1.7, 9.1)","0.37 (0.08, 0.88)","0.0662 (0.0132, 0.1884)",5
Somalia,"3.1 (1.4, 7.7)","0.05 (0.01, 0.48)","0.0092 (0.0013, 0.0932)","4.1 (1.5, 15.3)","0.08 (0.0, 0.89)","0.0167 (0.0008, 0.2257)",1
South Africa,"5.6 (2.3, 15.1)","0.07 (0.02, 0.34)","0.0037 (0.0008, 0.0214)","4.5 (1.7, 11.2)","0.25 (0.04, 0.88)","0.0367 (0.0051, 0.1563)",4
Spain,"5.2 (2.5, 9.3)","0.06 (0.02, 0.23)","0.0021 (0.0005, 0.0074)","4.1 (2.2, 7.1)","0.22 (0.05, 0.72)","0.0312 (0.0066, 0.1032)",6
Sri Lanka,"6.9 (1.8, 18.8)","0.18 (0.05, 0.58)","0.0092 (0.0026, 0.0325)","2.5 (1.1, 10.4)","0.4 (0.11, 0.85)","0.0679 (0.018, 0.1632)",4
Sudan,"3.6 (1.3, 13.9)","0.09 (0.02, 0.78)","0.0177 (0.0026, 0.1957)","3.1 (0.8, 12.3)","0.18 (0.01, 1.28)","0.0573 (0.003, 0.7041)",1
Sweden,"5.2 (2.2, 13.1)","0.07 (0.02, 0.33)","0.0043 (0.001, 0.0235)","2.6 (1.4, 5.5)","0.2 (0.03, 0.82)","0.0391 (0.0056, 0.177)",6
Switzerland,"3.7 (1.8, 7.8)","0.06 (0.02, 0.31)","0.0021 (0.0006, 0.0116)","3.3 (1.8, 6.4)","0.17 (0.03, 0.78)","0.0206 (0.0033, 0.1011)",6
Syria,"2.9 (1.2, 9.5)","0.1 (0.02, 1.08)","0.0225 (0.0032, 0.2915)","2.5 (0.4, 10.2)","0.26 (0.01, 1.39)","0.1061 (0.0041, 0.8879)",2
Taiwan*,"2.0 (1.2, 5.0)","0.05 (0.01, 0.34)","0.0045 (0.0011, 0.0344)","0.8 (0.1, 2.1)","0.09 (0.0, 0.49)","0.0149 (0.0005, 0.0951)",10
Tanzania,"2.3 (1.3, 5.1)","0.05 (0.01, 0.53)","0.0105 (0.0018, 0.1155)","2.6 (1.2, 9.9)","0.07 (0.0, 0.96)","0.0194 (0.0004, 0.3638)",3
Thailand,"1.9 (1.2, 3.5)","0.04 (0.01, 0.16)","0.0024 (0.0007, 0.0102)","1.3 (0.2, 3.0)","0.23 (0.05, 0.56)","0.016 (0.0028, 0.0561)",11
Togo,"4.8 (1.7, 12.5)","0.09 (0.02, 0.59)","0.0107 (0.0022, 0.0721)","2.6 (0.7, 9.9)","0.2 (0.03, 1.04)","0.0524 (0.006, 0.3033)",3
Trinidad and Tobago,"5.8 (2.0, 17.3)","0.14 (0.03, 0.53)","0.0154 (0.0025, 0.0769)","4.0 (1.0, 12.5)","0.43 (0.06, 0.92)","0.1403 (0.0188, 0.4158)",3
Tunisia,"5.7 (2.3, 20.4)","0.07 (0.02, 0.38)","0.0049 (0.0011, 0.0313)","3.4 (1.4, 9.8)","0.22 (0.03, 0.89)","0.0452 (0.006, 0.2001)",4
Turkey,"10.0 (3.8, 28.8)","0.05 (0.01, 0.26)","0.0008 (0.0001, 0.0046)","9.9 (3.8, 28.2)","0.12 (0.02, 0.52)","0.0061 (0.0008, 0.0277)",3
Ukraine,"7.9 (3.0, 27.0)","0.06 (0.02, 0.35)","0.0022 (0.0006, 0.0122)","5.8 (2.1, 18.6)","0.15 (0.02, 0.71)","0.0121 (0.0017, 0.0609)",3
United Arab Emirates,"1.4 (1.1, 2.7)","0.05 (0.01, 0.61)","0.0039 (0.0008, 0.0521)","2.1 (1.2, 4.4)","0.01 (0.0, 0.22)","0.0009 (0.0, 0.0263)",10
United Kingdom,"2.8 (1.3, 6.4)","0.03 (0.01, 0.38)","0.0058 (0.0013, 0.0766)","2.1 (0.8, 5.0)","0.01 (0.0, 0.3)","0.0014 (0.0001, 0.0816)",9
Uruguay,"6.2 (2.2, 17.8)","0.11 (0.02, 0.45)","0.0061 (0.0012, 0.0291)","4.1 (1.4, 13.9)","0.34 (0.06, 0.88)","0.046 (0.0071, 0.1608)",3
Uzbekistan,"4.6 (1.5, 18.0)","0.1 (0.02, 1.12)","0.0056 (0.0012, 0.063)","3.1 (1.4, 10.3)","0.13 (0.02, 0.93)","0.0153 (0.0023, 0.1145)",3
Venezuela,"7.6 (2.1, 22.0)","0.24 (0.06, 0.68)","0.0166 (0.0038, 0.0534)","4.2 (1.2, 14.7)","0.53 (0.14, 0.95)","0.0931 (0.0204, 0.2253)",3
West Bank and Gaza,"4.5 (1.4, 16.0)","0.1 (0.02, 1.16)","0.0101 (0.002, 0.1089)","1.8 (1.1, 3.9)","0.18 (0.02, 0.98)","0.0404 (0.0033, 0.2578)",5
Zambia,"3.7 (1.2, 13.3)","0.12 (0.02, 0.9)","0.022 (0.003, 0.2363)","2.3 (0.2, 10.7)","0.37 (0.02, 1.26)","0.1531 (0.0067, 0.8587)",3
Zimbabwe,"3.4 (1.2, 13.5)","0.1 (0.02, 0.85)","0.0211 (0.003, 0.2336)","2.4 (0.3, 10.2)","0.32 (0.01, 1.3)","0.1291 (0.0047, 0.8769)",2
