Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),R current (CI),CAR current (CI),IFR current (CI),delta weeks
Afghanistan,"3.7 (1.4, 16.2)","0.07 (0.02, 1.15)","0.0063 (0.0013, 0.0824)","2.6 (1.3, 6.0)","0.1 (0.01, 0.94)","0.0167 (0.0019, 0.162)",4
Albania,"5.0 (1.8, 19.5)","0.16 (0.04, 0.68)","0.005 (0.0013, 0.0223)","3.3 (1.4, 8.9)","0.44 (0.11, 0.88)","0.0397 (0.0093, 0.0902)",4
Algeria,"3.8 (1.6, 14.7)","0.1 (0.02, 1.02)","0.0077 (0.0015, 0.0707)","2.8 (1.4, 6.1)","0.22 (0.03, 0.93)","0.0355 (0.0044, 0.153)",5
Andorra,"3.5 (1.6, 8.5)","0.07 (0.02, 0.39)","0.0042 (0.001, 0.0251)","2.5 (1.1, 9.4)","0.13 (0.02, 0.63)","0.0209 (0.0033, 0.1124)",3
Antigua and Barbuda,"3.3 (1.2, 11.9)","0.11 (0.02, 1.01)","0.0245 (0.0032, 0.2771)","2.7 (0.4, 11.9)","0.36 (0.02, 1.26)","0.1476 (0.0055, 0.855)",2
Argentina,"3.8 (1.8, 8.1)","0.05 (0.02, 0.27)","0.0024 (0.0006, 0.0141)","3.7 (1.7, 8.0)","0.11 (0.02, 0.64)","0.0109 (0.0016, 0.0714)",4
Armenia,"8.0 (3.0, 20.0)","0.12 (0.03, 0.47)","0.0034 (0.0008, 0.0143)","5.1 (1.6, 15.1)","0.35 (0.09, 0.82)","0.0316 (0.0075, 0.0842)",4
Austria,"2.8 (1.6, 6.3)","0.06 (0.01, 0.43)","0.0015 (0.0004, 0.012)","2.9 (1.6, 5.7)","0.14 (0.02, 0.81)","0.0123 (0.0017, 0.0737)",6
Azerbaijan,"2.6 (1.3, 5.6)","0.05 (0.01, 0.37)","0.0033 (0.0008, 0.0267)","2.4 (1.3, 4.9)","0.04 (0.01, 0.35)","0.0042 (0.0005, 0.038)",5
Bahamas,"3.9 (1.2, 14.6)","0.09 (0.02, 0.75)","0.0184 (0.0029, 0.1929)","2.3 (0.3, 10.0)","0.27 (0.02, 1.27)","0.1153 (0.0052, 0.8634)",3
Bahrain,"2.9 (1.2, 10.9)","0.06 (0.02, 0.34)","0.0028 (0.0007, 0.016)","1.6 (0.8, 3.0)","0.08 (0.01, 0.4)","0.0032 (0.0004, 0.0197)",6
Bangladesh,"2.6 (1.4, 5.4)","0.05 (0.01, 0.44)","0.0053 (0.0013, 0.0462)","2.7 (1.3, 6.1)","0.03 (0.0, 0.23)","0.004 (0.0001, 0.0356)",4
Barbados,"6.3 (1.6, 20.6)","0.11 (0.02, 0.62)","0.0164 (0.0026, 0.1206)","3.1 (0.5, 12.2)","0.35 (0.03, 1.04)","0.121 (0.0099, 0.5797)",3
Belarus,"2.7 (1.4, 5.9)","0.05 (0.01, 0.35)","0.0043 (0.001, 0.0337)","2.5 (1.3, 5.3)","0.04 (0.0, 0.27)","0.0047 (0.0005, 0.0383)",5
Belgium,"4.1 (2.0, 8.2)","0.09 (0.03, 0.36)","0.003 (0.0009, 0.0115)","3.7 (1.9, 7.9)","0.38 (0.07, 0.88)","0.0408 (0.0075, 0.1078)",5
Benin,"3.5 (1.2, 14.0)","0.1 (0.02, 0.83)","0.0202 (0.0028, 0.2282)","2.7 (0.4, 11.0)","0.3 (0.01, 1.31)","0.1182 (0.0048, 0.8626)",2
Bolivia,"5.1 (1.5, 19.5)","0.1 (0.02, 1.11)","0.0096 (0.0019, 0.1005)","2.6 (1.3, 7.7)","0.16 (0.02, 0.95)","0.0352 (0.0045, 0.2206)",4
Bosnia and Herzegovina,"3.6 (1.8, 7.7)","0.05 (0.01, 0.29)","0.0021 (0.0006, 0.0125)","3.5 (1.6, 7.4)","0.12 (0.02, 0.67)","0.0126 (0.0017, 0.0779)",5
Brazil,"6.6 (2.0, 24.4)","0.13 (0.03, 0.94)","0.0074 (0.0015, 0.0555)","3.5 (1.7, 7.4)","0.19 (0.04, 0.89)","0.0215 (0.0039, 0.1049)",5
Brunei,"4.4 (1.4, 12.3)","0.17 (0.03, 0.57)","0.01 (0.0017, 0.0362)","2.2 (0.3, 6.3)","0.37 (0.04, 0.9)","0.0748 (0.0082, 0.2091)",4
Bulgaria,"7.2 (2.8, 20.6)","0.07 (0.02, 0.36)","0.0024 (0.0006, 0.0126)","4.4 (1.6, 10.9)","0.19 (0.04, 0.74)","0.0223 (0.0038, 0.0891)",4
Burkina Faso,"5.1 (2.1, 12.6)","0.08 (0.02, 0.39)","0.004 (0.001, 0.0201)","3.5 (1.3, 11.6)","0.19 (0.04, 0.66)","0.0223 (0.0043, 0.0824)",3
Burma,"2.1 (1.2, 5.3)","0.05 (0.01, 0.43)","0.0098 (0.0017, 0.0949)","2.7 (1.2, 11.2)","0.07 (0.0, 0.84)","0.0206 (0.0006, 0.2755)",2
Cabo Verde,"3.5 (1.3, 15.0)","0.08 (0.02, 0.71)","0.0165 (0.0025, 0.1809)","2.7 (0.4, 11.7)","0.22 (0.01, 1.21)","0.0835 (0.002, 0.7983)",2
Cameroon,"6.0 (1.9, 17.3)","0.09 (0.02, 0.43)","0.0068 (0.0013, 0.0395)","4.1 (1.6, 14.5)","0.27 (0.04, 0.93)","0.0453 (0.0055, 0.1972)",3
