Region	R0 (CI)	ci1	CAR (week 0) (CI)	ci2	IFR (week 0) (CI)	ci3	Rt(April 15th, 2020) (CI)	ci4	CARt(April 15th, 2020) (CI)	ci5	IFRt(April 15th, 2020) (CI)	ci6	delta weeks
Iran	7.9	(3.2, 17.0)	0.06	(0.02, 0.3)	0.002	(0.0004, 0.008)	1.3	(1.0, 2.0)	0.3	(0.07, 0.7)	0.03	(0.006, 0.07)	7
Ireland	5.5	(2.0, 17.0)	0.08	(0.02, 0.5)	0.006	(0.001, 0.04)	3.2	(2.0, 8.0)	0.1	(0.03, 0.6)	0.02	(0.004, 0.1)	5
Israel	3.7	(1.8, 8.3)	0.05	(0.02, 0.3)	0.001	(0.0003, 0.008)	3.1	(2.0, 6.0)	0.1	(0.02, 0.5)	0.005	(0.001, 0.03)	5
Italy	3.4	(1.0, 8.4)	0.05	(0.009, 5.0)	0.003	(0.0005, 0.3)	0.83	(0.2, 1.0)	0.03	(0.007, 0.5)	0.006	(0.001, 0.1)	10
Japan	3.3	(1.5, 7.2)	0.05	(0.02, 0.4)	0.002	(0.0006, 0.02)	1.9	(1.0, 3.0)	0.08	(0.01, 0.4)	0.008	(0.001, 0.05)	10
Korea, South	3.1	(1.4, 5.8)	0.04	(0.01, 0.8)	0.001	(0.0003, 0.03)	0.43	(0.05, 0.9)	0.1	(0.002, 0.7)	0.007	(0.0002, 0.07)	9
Netherlands	5.2	(2.3, 13.0)	0.06	(0.02, 0.3)	0.006	(0.001, 0.06)	4.2	(2.0, 9.0)	0.2	(0.04, 0.6)	0.05	(0.009, 0.2)	5
Peru	4.5	(1.8, 13.0)	0.07	(0.02, 0.4)	0.003	(0.0007, 0.02)	3.6	(2.0, 10.0)	0.09	(0.02, 0.5)	0.006	(0.001, 0.04)	4
Poland	4.8	(1.9, 14.0)	0.1	(0.03, 0.5)	0.003	(0.0008, 0.02)	2.5	(1.0, 7.0)	0.2	(0.05, 0.6)	0.02	(0.003, 0.06)	4
Portugal	4.9	(2.2, 11.0)	0.05	(0.02, 0.3)	0.002	(0.0006, 0.01)	4.3	(2.0, 9.0)	0.1	(0.03, 0.6)	0.02	(0.004, 0.08)	5
Romania	4.1	(2.0, 8.3)	0.05	(0.01, 0.3)	0.001	(0.0004, 0.008)	4.1	(2.0, 8.0)	0.08	(0.02, 0.4)	0.006	(0.001, 0.03)	5
Russia	1.9	(1.1, 4.6)	0.04	(0.01, 0.8)	0.002	(0.0005, 0.04)	2.7	(1.0, 7.0)	0.005	(0.0005, 0.1)	0.0003	(3e-05, 0.008)	9
Sweden	5.2	(2.1, 14.0)	0.08	(0.02, 0.4)	0.005	(0.001, 0.03)	2.3	(1.0, 5.0)	0.2	(0.04, 0.6)	0.03	(0.007, 0.1)	6
Switzerland	3.6	(1.8, 8.0)	0.06	(0.02, 0.3)	0.002	(0.0005, 0.01)	3.1	(2.0, 7.0)	0.2	(0.03, 0.7)	0.02	(0.003, 0.09)	6
Turkey	8.2	(3.2, 20.0)	0.05	(0.01, 0.3)	0.0009	(0.0002, 0.005)	8.5	(3.0, 30.0)	0.1	(0.03, 0.5)	0.007	(0.001, 0.03)	3
United Kingdom	2.7	(1.3, 6.3)	0.04	(0.01, 0.3)	0.006	(0.001, 0.06)	2.6	(1.0, 7.0)	0.009	(0.0007, 0.3)	0.002	(0.0001, 0.08)	9
