roi,model,waic
Gambia,C,16.533958002316147
Cabo Verde,B,107.68457221004792
Antigua and Barbuda,C,108.71574896727287
Somalia,E,116.41970736617948
Zimbabwe,B,123.38689251143013
Syria,C,126.14889851379965
Sudan,B,126.75845836513972
Benin,B,130.58385791884436
Liberia,B,133.39414504503213
Congo (Brazzaville),E,146.91974790551808
Libya,B,150.3658368784482
Haiti,B,160.69655640331717
Burma,E,162.02322614027503
Guyana,B,169.55023286753124
Liechtenstein,C,170.10708344580465
Gabon,E,173.62457377949752
Bahamas,B,189.88696596812932
Tanzania,E,194.710186033106
Zambia,C,201.4548328011929
US_VI,A,205.0705050585043
Barbados,B,234.70540298367428
Ethiopia,E,237.25311510455083
Monaco,B,241.93552656246675
Mali,A,252.0110657396121
Togo,B,263.8982014943548
El Salvador,C,266.1687671454956
Guinea,B,270.20711776274067
Jamaica,E,270.60762816489546
Djibouti,C,283.73602629466694
Trinidad and Tobago,C,288.34215810133634
Kosovo,E,288.7979793074173
Guatemala,E,289.34402595859507
US_GU,D,320.90187966978266
Congo (Kinshasa),D,330.62450338409127
Paraguay,C,333.7755990386357
Niger,C,337.09556522079976
Montenegro,C,349.62373401155776
Kenya,C,359.24068727424566
Mauritius,C,360.3576364940461
Ghana,A,363.65036134346235
Brunei,D,365.9192150651608
Kyrgyzstan,D,370.3196209204262
Venezuela,D,378.8324921020177
US_AK,B,380.5693617466446
US_WY,B,392.7914584581089
Honduras,B,401.7794755746589
Sri Lanka,D,405.54232875087405
Bolivia,A,412.3174968325874
Cameroon,C,425.33353110997734
Malta,C,427.07492963204317
Nigeria,C,427.28346191668
US_MT,B,427.8686016199442
US_ND,D,428.6253045450874
West Bank and Gaza,A,429.39725584118594
US_WV,D,430.01271393145055
Uruguay,C,460.43752713955513
US_VT,A,460.5249689709095
Uzbekistan,A,464.7076134792634
Diamond Princess,C,471.3377341037883
Latvia,C,472.00436611673246
Georgia,B,474.93549922668717
Jordan,C,476.7620510694784
US_HI,C,479.3920577217172
Afghanistan,A,482.73622494293363
Cuba,B,484.7478510639143
Bangladesh,E,486.7932322677655
Costa Rica,C,509.1862596501877
Senegal,C,510.4750323885338
San Marino,D,510.8959331298954
Andorra,C,511.1763380531848
Cyprus,C,519.3351224098117
Slovakia,A,528.1972725518268
Tunisia,B,529.1373259136859
Burkina Faso,C,529.6745307216295
US_SD,A,542.2656045348797
US_ME,A,546.7070414886621
Albania,A,547.1710474825122
North Macedonia,B,570.5298771607112
US_NH,C,572.0812659878436
Kazakhstan,E,573.4439070873982
Lithuania,C,576.1720495985654
US_NM,C,579.3098217551643
Bulgaria,B,581.2144702983858
US_UT,A,603.5877464923228
Oman,B,603.7148105095698
Belarus,B,609.5469327427508
US_DE,B,611.7458257544422
Ukraine,B,619.3148203848949
Lebanon,A,620.7410907630126
Armenia,C,622.5757688369022
Moldova,C,623.0535217001958
Morocco,A,635.1984108161238
Bosnia and Herzegovina,C,642.8439640388949
US_KY,B,645.7233091952528
US_RI,A,645.8251358287057
Azerbaijan,C,648.5013201059278
US_AR,B,651.4032721279517
New Zealand,D,653.4931382528006
South Africa,C,660.214650621342
Estonia,C,661.6570679212508
US_OK,C,668.8347659159269
US_DC,B,674.5357393250841
Serbia,A,678.2235275400568
US_IA,C,680.5160846978166
Panama,C,682.3879764213435
Hungary,B,685.335256892373
Slovenia,C,690.1759718612046
US_AZ,B,702.3952388363949
Colombia,E,717.0693826158362
Dominican Republic,D,718.6539217013208
Luxembourg,C,727.1160097649366
Taiwan*,D,728.3941730588962
Kuwait,A,740.1954593086807
Croatia,A,753.8406629510347
US_VA,A,754.0223490637903
Finland,B,759.9586039273912
US_MN,B,776.1379793761122
Qatar,B,800.158190182006
Argentina,C,809.1388840094509
Iceland,D,826.885203444267
US_MD,C,840.320314022139
Greece,C,841.611126185301
Egypt,A,860.2109879801102
US_TN,C,862.2902425787953
Mexico,A,864.6527180804037
Philippines,E,870.966343875116
Iraq,A,872.3716551577178
Bahrain,D,873.2891399646855
Ireland,C,904.5959882587823
Saudi Arabia,C,908.0396258617384
Algeria,A,908.4010615705342
Poland,E,911.4324826634801
Ecuador,D,920.128500357309
Peru,C,924.1038644169472
US_TX,B,940.2046460779244
Pakistan,D,942.6231398606596
Indonesia,A,944.3225147343852
Czechia,E,948.069199440236
United Arab Emirates,C,958.2595643205436
Norway,C,961.5749857140061
Romania,C,970.9449565187944
India,A,980.9414916991287
Chile,B,982.69226298709
Israel,C,1061.6732906431523
Turkey,A,1084.4556042097217
Portugal,C,1097.472683293542
Denmark,C,1099.7436513484545
Brazil,A,1107.3141537063748
Russia,D,1110.4612465511443
Sweden,C,1116.4211953674123
Thailand,A,1122.4984939737906
US_NJ,C,1150.611134227596
US_MI,C,1182.7620404444353
Singapore,A,1219.034602487541
Netherlands,A,1269.5508643007804
Malaysia,D,1270.136026660669
Austria,C,1279.7859431404975
Belgium,E,1394.6357546514764
Japan,B,1409.0216958543133
Switzerland,E,1491.7153651435315
United Kingdom,D,1552.1048952200515
US_NY,E,1563.9795773847904
"Korea, South",D,1764.6922973176602
Spain,D,2003.8831007665424
France,D,2029.9605713800931
Germany,D,2046.6330573628447
US,D,2113.8338018165246
Iran,B,2234.270719213317
Italy,D,2483.541661137591
China,A,3090.615697062937
