Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI)
Colombia,"3.4 (1.5, 7.0)","0.17 (0.04, 0.6)","0.0045 (0.0011, 0.0164)"
Congo (Brazzaville),"2.5 (1.2, 6.4)","0.07 (0.01, 1.15)","0.013 (0.0012, 0.2155)"
Congo (Kinshasa),"4.3 (1.3, 13.2)","0.09 (0.02, 0.43)","0.0106 (0.0023, 0.0581)"
Costa Rica,"5.0 (2.1, 12.9)","0.07 (0.02, 0.37)","0.0032 (0.0007, 0.0174)"
Croatia,"3.3 (1.6, 7.7)","0.04 (0.01, 0.3)","0.0017 (0.0003, 0.0121)"
Cuba,"4.3 (1.8, 12.6)","0.06 (0.02, 0.41)","0.0026 (0.0006, 0.019)"
Cyprus,"6.9 (2.5, 17.5)","0.11 (0.02, 0.45)","0.0052 (0.0011, 0.0241)"
Czechia,"3.5 (1.6, 7.6)","0.05 (0.02, 0.29)","0.0016 (0.0004, 0.0083)"
Denmark,"5.7 (2.4, 13.4)","0.06 (0.02, 0.29)","0.002 (0.0006, 0.0104)"
Diamond Princess,"2.6 (1.3, 6.3)","0.07 (0.02, 0.59)","0.007 (0.0012, 0.0546)"
Djibouti,"4.3 (1.7, 13.4)","0.07 (0.02, 0.4)","0.0062 (0.0013, 0.0413)"
Dominican Republic,"4.3 (1.8, 11.4)","0.04 (0.01, 0.25)","0.0028 (0.0004, 0.018)"
Ecuador,"3.4 (1.5, 9.1)","0.04 (0.01, 0.25)","0.0029 (0.0005, 0.0212)"
Egypt,"5.5 (1.5, 17.4)","0.12 (0.03, 0.96)","0.0057 (0.0015, 0.0435)"
El Salvador,"5.6 (2.1, 14.2)","0.09 (0.02, 0.41)","0.0059 (0.0013, 0.0313)"
Estonia,"4.6 (2.0, 11.5)","0.07 (0.02, 0.33)","0.0029 (0.0007, 0.0155)"
Ethiopia,"2.0 (1.2, 4.4)","0.06 (0.01, 0.51)","0.0095 (0.0016, 0.0966)"
Finland,"5.3 (2.2, 17.4)","0.06 (0.02, 0.37)","0.0041 (0.0009, 0.0268)"
France,"1.5 (1.0, 5.7)","0.69 (0.01, 9.43)","0.0561 (0.001, 0.8798)"
Gabon,"2.3 (1.2, 5.4)","0.06 (0.01, 0.89)","0.011 (0.0016, 0.1414)"
Gambia,"4.5 (1.3, 16.1)","nan (nan, nan)","nan (nan, nan)"
Georgia,"5.6 (2.2, 14.8)","0.08 (0.02, 0.51)","0.0051 (0.0012, 0.0324)"
Germany,"1.7 (1.0, 5.3)","0.21 (0.01, 9.35)","0.0079 (0.0003, 0.3828)"
Ghana,"5.6 (1.6, 19.5)","0.13 (0.02, 1.04)","0.0128 (0.0021, 0.1113)"
Greece,"4.4 (2.0, 10.5)","0.05 (0.02, 0.29)","0.0032 (0.0008, 0.0187)"
Guatemala,"2.2 (1.2, 4.6)","0.06 (0.01, 0.45)","0.0085 (0.0016, 0.0663)"
Guinea,"5.5 (1.9, 19.2)","0.07 (0.02, 0.45)","0.0069 (0.0013, 0.0496)"
Guyana,"3.4 (1.2, 14.0)","0.09 (0.02, 0.84)","0.0204 (0.003, 0.2253)"
Haiti,"3.7 (1.2, 14.8)","0.1 (0.02, 0.8)","0.0206 (0.003, 0.2162)"
Honduras,"4.6 (1.9, 16.3)","0.06 (0.02, 0.4)","0.0084 (0.0016, 0.0595)"
Hungary,"6.1 (2.4, 19.1)","0.07 (0.02, 0.37)","0.0032 (0.0008, 0.0182)"
Iceland,"4.2 (1.8, 14.5)","0.11 (0.03, 0.45)","0.0027 (0.0006, 0.0115)"
India,"6.1 (1.7, 28.6)","0.18 (0.04, 0.94)","0.0049 (0.0011, 0.0283)"
Indonesia,"6.7 (2.7, 19.9)","0.04 (0.01, 0.29)","0.0017 (0.0003, 0.0125)"
Iran,"8.4 (3.4, 18.5)","0.06 (0.02, 0.29)","0.0017 (0.0005, 0.0078)"
Iraq,"2.6 (1.3, 10.3)","0.1 (0.02, 1.23)","0.0039 (0.0009, 0.0448)"
Ireland,"5.3 (2.2, 13.8)","0.07 (0.02, 0.35)","0.0046 (0.001, 0.0255)"
Israel,"3.5 (1.7, 7.4)","0.05 (0.01, 0.31)","0.0012 (0.0003, 0.0077)"
Italy,"3.4 (1.0, 8.5)","0.05 (0.01, 5.93)","0.0033 (0.0005, 0.3788)"
Jamaica,"1.9 (1.2, 4.0)","0.05 (0.01, 0.44)","0.0092 (0.0018, 0.0896)"
Japan,"3.4 (1.7, 7.0)","0.05 (0.02, 0.3)","0.0023 (0.0006, 0.0139)"
Jordan,"6.1 (2.4, 16.0)","0.11 (0.03, 0.43)","0.0044 (0.001, 0.0195)"
Kazakhstan,"2.8 (1.4, 5.4)","0.11 (0.03, 0.48)","0.0037 (0.0009, 0.0165)"
Kenya,"4.3 (1.7, 12.1)","0.07 (0.02, 0.37)","0.0051 (0.0011, 0.0312)"
"Korea, South","3.0 (1.2, 5.7)","0.04 (0.01, 1.17)","0.0014 (0.0003, 0.0443)"
Kosovo,"1.9 (1.1, 6.0)","0.06 (0.01, 0.47)","0.0069 (0.0014, 0.0668)"
Kuwait,"4.2 (1.3, 16.2)","0.08 (0.02, 1.47)","0.0038 (0.0009, 0.0657)"
