Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),"Rt(April 15th, 2020) (CI)","CARt(April 15th, 2020) (CI)","IFRt(April 15th, 2020) (CI)",delta weeks
Peru,"4.5 (1.8, 12.9)","0.07 (0.02, 0.41)","0.0029 (0.0007, 0.0187)","3.63 (1.66, 9.75)","0.09 (0.02, 0.46)","0.0065 (0.0013, 0.0355)",4
Philippines,"5.7 (2.1, 15.8)","0.17 (0.05, 0.57)","0.0059 (0.0015, 0.0207)","2.8 (1.09, 8.22)","0.34 (0.09, 0.75)","0.0373 (0.0095, 0.0933)",4
Poland,"4.8 (1.9, 13.5)","0.1 (0.03, 0.51)","0.0031 (0.0008, 0.0158)","2.53 (1.05, 7.23)","0.19 (0.05, 0.64)","0.0156 (0.0035, 0.0563)",4
Portugal,"4.9 (2.2, 10.5)","0.05 (0.02, 0.31)","0.0022 (0.0006, 0.0129)","4.33 (1.99, 9.17)","0.14 (0.03, 0.57)","0.0172 (0.0037, 0.0761)",5
Qatar,"7.1 (2.4, 19.4)","0.14 (0.03, 0.57)","0.0055 (0.0012, 0.0257)","2.29 (1.22, 6.02)","0.26 (0.06, 0.72)","0.0302 (0.0056, 0.1028)",5
Romania,"4.1 (2.0, 8.3)","0.05 (0.01, 0.25)","0.0014 (0.0004, 0.0075)","4.09 (1.98, 8.43)","0.08 (0.02, 0.43)","0.0057 (0.0013, 0.0301)",5
Russia,"1.9 (1.1, 4.6)","0.04 (0.01, 0.76)","0.0021 (0.0005, 0.0391)","2.74 (1.33, 6.82)","0.0 (0.0, 0.13)","0.0003 (0.0, 0.0084)",9
San Marino,"4.5 (1.6, 12.1)","0.1 (0.02, 0.61)","0.0112 (0.0023, 0.0711)","1.38 (0.85, 3.72)","0.2 (0.04, 0.74)","0.0633 (0.0105, 0.2618)",5
Saudi Arabia,"4.9 (2.0, 12.3)","0.06 (0.02, 0.32)","0.0015 (0.0004, 0.0084)","4.17 (1.83, 9.86)","0.12 (0.03, 0.5)","0.0079 (0.0016, 0.0354)",5
Senegal,"3.4 (1.7, 7.6)","0.05 (0.01, 0.28)","0.0028 (0.0007, 0.0167)","3.25 (1.64, 7.42)","0.09 (0.02, 0.46)","0.009 (0.0016, 0.0477)",5
Serbia,"5.9 (2.1, 17.3)","0.12 (0.03, 0.61)","0.0077 (0.0017, 0.0438)","3.13 (1.36, 9.61)","0.19 (0.04, 0.68)","0.0295 (0.0058, 0.1247)",4
Singapore,"3.8 (1.6, 8.7)","0.06 (0.02, 0.43)","0.002 (0.0005, 0.0152)","2.27 (1.17, 4.72)","0.01 (0.0, 0.32)","0.0005 (0.0, 0.0157)",11
Slovakia,"7.0 (2.2, 19.2)","0.15 (0.04, 0.65)","0.0092 (0.0019, 0.0456)","3.25 (1.33, 10.2)","0.28 (0.06, 0.78)","0.0453 (0.0086, 0.1595)",4
Slovenia,"7.0 (2.6, 19.4)","0.12 (0.03, 0.5)","0.0047 (0.0009, 0.0225)","4.02 (1.59, 9.6)","0.33 (0.08, 0.78)","0.0592 (0.0128, 0.1663)",5
Somalia,"3.7 (1.5, 12.2)","0.06 (0.01, 0.51)","0.0105 (0.0016, 0.0958)","2.78 (1.06, 10.19)","0.06 (0.01, 0.55)","0.0133 (0.0012, 0.1486)",1
South Africa,"5.8 (2.3, 17.5)","0.08 (0.02, 0.45)","0.0044 (0.0009, 0.0273)","5.01 (1.98, 13.49)","0.19 (0.04, 0.66)","0.0285 (0.005, 0.1202)",4
Spain,"5.2 (2.5, 9.8)","0.05 (0.02, 0.24)","0.0017 (0.0005, 0.0079)","4.14 (2.1, 7.65)","0.21 (0.05, 0.64)","0.0289 (0.0067, 0.0913)",6
Sri Lanka,"7.0 (2.4, 17.5)","0.2 (0.05, 0.62)","0.0103 (0.0026, 0.0355)","3.11 (1.04, 10.37)","0.4 (0.1, 0.82)","0.0689 (0.0166, 0.1615)",4
Sudan,"3.4 (1.2, 11.8)","0.11 (0.02, 1.05)","0.022 (0.0018, 0.2961)","3.2 (1.03, 11.68)","0.13 (0.01, 1.13)","0.0414 (0.0013, 0.5452)",1
Sweden,"5.2 (2.1, 14.4)","0.08 (0.02, 0.42)","0.0052 (0.0011, 0.0298)","2.27 (1.25, 5.1)","0.17 (0.04, 0.6)","0.0334 (0.0065, 0.1377)",6
Switzerland,"3.6 (1.8, 8.0)","0.06 (0.02, 0.33)","0.002 (0.0005, 0.0124)","3.12 (1.68, 6.5)","0.16 (0.03, 0.68)","0.0186 (0.0034, 0.0901)",6
Syria,"3.2 (1.2, 10.9)","0.15 (0.02, 1.42)","0.0312 (-0.0053, 0.3978)","2.57 (0.77, 10.07)","0.22 (-0.01, 1.49)","0.0896 (-0.0146, 0.8161)",2
Taiwan*,"2.0 (1.2, 5.1)","0.05 (0.01, 0.32)","0.0045 (0.0011, 0.0324)","0.74 (0.18, 2.0)","0.08 (0.0, 0.48)","0.0148 (0.0006, 0.0936)",10
Tanzania,"2.7 (1.3, 8.8)","0.06 (0.01, 0.57)","0.011 (0.0019, 0.1148)","1.48 (0.65, 5.67)","0.05 (0.0, 0.58)","0.0145 (0.0009, 0.2131)",3
Thailand,"1.9 (1.2, 3.5)","0.04 (0.01, 0.16)","0.0024 (0.0007, 0.0107)","0.81 (0.18, 1.59)","0.23 (0.04, 0.56)","0.016 (0.0027, 0.0556)",11
Togo,"4.1 (1.4, 11.4)","0.09 (0.02, 0.73)","0.0113 (0.0023, 0.09)","2.94 (1.03, 9.48)","0.17 (0.02, 0.82)","0.0431 (0.0048, 0.2472)",3
Trinidad and Tobago,"5.6 (1.9, 17.9)","0.14 (0.02, 0.61)","0.0156 (0.0022, 0.0917)","4.3 (1.37, 12.93)","0.32 (0.04, 0.86)","0.1051 (0.0128, 0.3855)",3
Tunisia,"4.7 (1.9, 14.2)","0.08 (0.02, 0.47)","0.0056 (0.0011, 0.0359)","3.43 (1.45, 9.6)","0.16 (0.03, 0.64)","0.033 (0.0053, 0.1501)",4
Turkey,"8.2 (3.2, 20.1)","0.05 (0.01, 0.26)","0.0009 (0.0002, 0.0046)","8.45 (3.27, 25.28)","0.13 (0.03, 0.51)","0.0068 (0.0014, 0.0267)",3
Ukraine,"6.1 (2.4, 16.8)","0.07 (0.02, 0.37)","0.0024 (0.0005, 0.0135)","5.79 (2.28, 16.3)","0.12 (0.03, 0.5)","0.0097 (0.002, 0.0437)",3
United Arab Emirates,"1.8 (1.1, 4.1)","0.04 (0.01, 0.48)","0.0035 (0.0008, 0.0409)","2.22 (1.23, 5.1)","0.01 (0.0, 0.18)","0.0011 (0.0001, 0.0204)",10
United Kingdom,"2.7 (1.3, 6.3)","0.04 (0.01, 0.33)","0.0061 (0.0013, 0.0649)","2.61 (1.31, 6.58)","0.01 (0.0, 0.3)","0.0021 (0.0001, 0.0822)",9
Uruguay,"6.2 (2.1, 18.8)","0.13 (0.03, 0.54)","0.0072 (0.0013, 0.0358)","3.44 (1.13, 11.59)","0.29 (0.05, 0.77)","0.0388 (0.0063, 0.139)",3
Uzbekistan,"4.4 (1.6, 13.7)","0.08 (0.02, 0.62)","0.005 (0.0012, 0.0368)","3.07 (1.31, 10.6)","0.11 (0.02, 0.62)","0.0134 (0.0021, 0.08)",3
Venezuela,"8.4 (2.7, 23.2)","0.23 (0.05, 0.68)","0.0153 (0.0031, 0.0555)","5.69 (1.86, 17.88)","0.47 (0.11, 0.87)","0.0804 (0.0171, 0.2025)",3
West Bank and Gaza,"3.9 (1.4, 12.0)","0.09 (0.02, 0.68)","0.0087 (0.0018, 0.0688)","1.6 (0.99, 3.97)","0.14 (0.01, 0.7)","0.0312 (0.0027, 0.1843)",5
Zambia,"4.0 (1.2, 14.4)","0.16 (0.02, 1.19)","0.0295 (-0.001, 0.3355)","2.79 (0.7, 11.78)","0.29 (-0.04, 1.31)","0.1194 (-0.0155, 0.7793)",3
Zimbabwe,"3.5 (1.2, 12.0)","0.17 (0.02, 1.29)","0.0345 (-0.0033, 0.3862)","2.69 (0.79, 10.72)","0.25 (-0.01, 1.39)","0.1018 (-0.0159, 0.7856)",2
