Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),"Rt(April 15th, 2020) (CI)","CARt(April 15th, 2020) (CI)","IFRt(April 15th, 2020) (CI)",delta weeks
US_WY,"3.4 (1.5, 8.5)","0.06 (0.02, 0.39)","0.0041 (0.0009, 0.0275)","1.26 (0.7, 2.61)","0.12 (0.02, 0.57)","0.0142 (0.002, 0.0785)",3
Afghanistan,"3.4 (1.5, 11.2)","0.07 (0.02, 0.58)","0.0056 (0.0012, 0.0494)","2.4 (1.2, 6.7)","0.08 (0.01, 0.55)","0.0134 (0.0018, 0.1039)",4
Albania,"4.0 (1.6, 13.4)","0.14 (0.04, 0.59)","0.0045 (0.0011, 0.0194)","1.52 (0.8, 6.77)","0.35 (0.08, 0.81)","0.0322 (0.0072, 0.0827)",4
Algeria,"3.6 (1.6, 12.3)","0.08 (0.02, 0.58)","0.0063 (0.0014, 0.042)","2.21 (1.2, 5.5)","0.17 (0.02, 0.67)","0.0271 (0.0039, 0.1134)",5
Andorra,"3.4 (1.4, 10.0)","0.07 (0.02, 0.42)","0.0043 (0.001, 0.028)","2.52 (1.09, 8.3)","0.11 (0.02, 0.55)","0.0176 (0.0029, 0.0946)",3
Antigua and Barbuda,"3.7 (1.2, 13.2)","0.19 (0.02, 1.46)","0.037 (-0.0191, 0.3924)","2.76 (0.76, 11.51)","0.29 (-0.05, 1.66)","0.1144 (-0.055, 0.8117)",2
Argentina,"3.9 (1.8, 8.7)","0.05 (0.01, 0.28)","0.0025 (0.0006, 0.0141)","3.56 (1.7, 8.19)","0.09 (0.02, 0.45)","0.0097 (0.0019, 0.05)",4
Armenia,"7.9 (2.8, 20.7)","0.15 (0.04, 0.53)","0.0042 (0.0009, 0.0162)","5.72 (1.95, 15.25)","0.32 (0.08, 0.75)","0.0288 (0.0069, 0.0766)",4
Austria,"3.0 (1.6, 6.5)","0.06 (0.01, 0.43)","0.0015 (0.0004, 0.0122)","2.83 (1.62, 6.01)","0.13 (0.02, 0.7)","0.0108 (0.0018, 0.0636)",6
Azerbaijan,"2.6 (1.3, 7.5)","0.05 (0.01, 0.38)","0.0033 (0.0008, 0.0274)","2.52 (1.32, 5.31)","0.04 (0.01, 0.31)","0.0042 (0.0007, 0.0331)",5
Bahamas,"3.6 (1.2, 12.7)","0.12 (0.02, 1.1)","0.0251 (0.003, 0.3134)","2.72 (0.76, 11.02)","0.21 (0.01, 1.17)","0.0879 (0.0037, 0.7235)",3
Bahrain,"3.1 (1.4, 9.2)","0.06 (0.02, 0.33)","0.0027 (0.0007, 0.0159)","1.72 (1.18, 3.13)","0.08 (0.02, 0.37)","0.003 (0.0004, 0.018)",6
Bangladesh,"2.7 (1.3, 8.8)","0.05 (0.01, 0.4)","0.0045 (0.001, 0.0402)","2.66 (1.3, 6.98)","0.03 (0.0, 0.25)","0.0046 (0.0005, 0.0387)",4
Barbados,"5.5 (1.5, 16.8)","0.14 (0.02, 0.83)","0.0193 (0.0028, 0.1623)","4.19 (1.09, 14.03)","0.27 (0.03, 0.96)","0.0928 (0.005, 0.483)",3
Belarus,"2.7 (1.3, 7.7)","0.05 (0.01, 0.38)","0.0043 (0.001, 0.0363)","2.6 (1.34, 5.57)","0.04 (0.01, 0.27)","0.005 (0.0007, 0.0399)",5
Belgium,"4.7 (2.1, 13.6)","0.1 (0.03, 0.51)","0.0033 (0.0009, 0.0168)","3.17 (1.82, 6.47)","0.32 (0.07, 0.81)","0.034 (0.0071, 0.0947)",5
Benin,"3.5 (1.2, 12.2)","0.15 (0.02, 1.48)","0.0303 (-0.0136, 0.3915)","2.65 (0.75, 10.98)","0.23 (-0.05, 1.61)","0.0887 (-0.0387, 0.8195)",2
Bolivia,"4.4 (1.6, 13.6)","0.09 (0.02, 0.61)","0.0082 (0.0017, 0.0578)","2.58 (1.23, 8.12)","0.13 (0.02, 0.64)","0.0288 (0.004, 0.1522)",4
Bosnia and Herzegovina,"3.5 (1.7, 8.4)","0.05 (0.01, 0.31)","0.0021 (0.0005, 0.0132)","2.65 (1.29, 5.92)","0.09 (0.02, 0.48)","0.0101 (0.0019, 0.0543)",5
Brazil,"6.4 (2.2, 19.4)","0.1 (0.02, 0.55)","0.006 (0.0013, 0.0342)","3.38 (1.65, 8.4)","0.15 (0.03, 0.61)","0.0174 (0.0035, 0.0772)",5
Brunei,"4.3 (1.5, 12.5)","0.14 (0.02, 0.59)","0.0084 (0.0014, 0.0378)","2.61 (0.79, 6.96)","0.31 (0.03, 0.88)","0.0629 (0.0068, 0.2025)",4
Bulgaria,"5.9 (2.3, 15.5)","0.08 (0.02, 0.38)","0.0026 (0.0006, 0.0133)","5.15 (1.97, 13.29)","0.18 (0.04, 0.61)","0.0203 (0.0043, 0.0745)",4
Burkina Faso,"4.9 (1.9, 13.1)","0.09 (0.02, 0.42)","0.0043 (0.001, 0.0223)","4.03 (1.58, 11.53)","0.17 (0.04, 0.61)","0.0195 (0.0039, 0.0762)",3
Burma,"2.7 (1.3, 9.4)","0.06 (0.01, 0.61)","0.0111 (0.0019, 0.1166)","2.03 (0.88, 8.53)","0.06 (0.0, 0.61)","0.0173 (0.0012, 0.2104)",2
Cabo Verde,"3.4 (1.2, 12.4)","0.11 (0.02, 1.47)","0.0221 (-0.0208, 0.3289)","2.37 (0.7, 10.1)","0.15 (0.01, 1.67)","0.0525 (-0.0726, 0.733)",2
Cameroon,"5.7 (1.9, 18.2)","0.11 (0.02, 0.6)","0.0086 (0.0014, 0.0519)","4.33 (1.51, 14.69)","0.21 (0.03, 0.73)","0.0349 (0.0046, 0.1586)",3
Chile,"4.2 (2.0, 9.1)","0.05 (0.01, 0.27)","0.0013 (0.0003, 0.0073)","3.94 (1.84, 8.94)","0.11 (0.02, 0.49)","0.0065 (0.0013, 0.033)",5
China,"9.6 (4.1, 19.2)","0.08 (0.03, 0.21)","0.0007 (0.0002, 0.002)","0.96 (0.38, 1.56)","0.16 (0.02, 0.66)","0.0094 (0.0012, 0.0387)",11
Colombia,"6.6 (2.5, 18.1)","0.12 (0.03, 0.49)","0.0031 (0.0007, 0.0137)","4.83 (1.81, 13.04)","0.25 (0.06, 0.68)","0.0204 (0.0049, 0.0611)",4
Congo (Brazzaville),"3.6 (1.4, 12.5)","0.09 (0.01, 0.94)","0.0154 (0.0018, 0.1975)","2.27 (0.7, 9.02)","0.12 (0.01, 0.96)","0.036 (0.0016, 0.5313)",3
Congo (Kinshasa),"4.1 (1.5, 11.3)","0.09 (0.02, 0.61)","0.0103 (0.0022, 0.0732)","2.86 (1.15, 9.25)","0.15 (0.03, 0.69)","0.0407 (0.0064, 0.2076)",3
Costa Rica,"4.7 (1.8, 13.6)","0.09 (0.02, 0.46)","0.0037 (0.0008, 0.0215)","3.12 (1.31, 8.73)","0.17 (0.03, 0.64)","0.0231 (0.0041, 0.0975)",4
Croatia,"3.1 (1.5, 7.1)","0.04 (0.01, 0.28)","0.0017 (0.0004, 0.0112)","2.65 (1.32, 6.89)","0.07 (0.01, 0.54)","0.0058 (0.0006, 0.0498)",6
Cuba,"3.7 (1.6, 10.4)","0.06 (0.02, 0.45)","0.0027 (0.0006, 0.0207)","2.77 (1.28, 8.21)","0.08 (0.02, 0.48)","0.0074 (0.0013, 0.047)",4
Cyprus,"6.5 (2.2, 18.0)","0.14 (0.03, 0.57)","0.0067 (0.0013, 0.0312)","3.73 (1.4, 10.95)","0.27 (0.06, 0.74)","0.0405 (0.0076, 0.1334)",4
Czechia,"3.9 (1.8, 8.8)","0.06 (0.02, 0.38)","0.0016 (0.0004, 0.0108)","2.89 (1.39, 6.27)","0.13 (0.03, 0.57)","0.0114 (0.0022, 0.0539)",5
Denmark,"6.0 (2.5, 15.4)","0.06 (0.01, 0.34)","0.0022 (0.0005, 0.0128)","3.6 (1.53, 8.47)","0.18 (0.03, 0.63)","0.0194 (0.0035, 0.0765)",5
Diamond Princess,"3.1 (1.3, 8.3)","0.09 (0.02, 0.68)","0.0086 (0.0014, 0.0602)","0.29 (0.01, 0.85)","0.2 (0.02, 0.88)","0.0614 (0.0052, 0.3591)",9
Djibouti,"4.2 (1.6, 13.7)","0.08 (0.02, 0.53)","0.0068 (0.0013, 0.049)","2.54 (0.95, 8.5)","0.09 (0.01, 0.57)","0.012 (0.0014, 0.092)",2
