"","coldates","dates","dates2","cum_cases","cum_deaths","cum_recover","new_cases","new_deaths","new_recover"
"1","X1.22.20","1.22.20",2020-01-22,444,17,28,NA,NA,NA
"2","X1.23.20","1.23.20",2020-01-23,444,17,28,0,0,0
"3","X1.24.20","1.24.20",2020-01-24,549,24,31,105,7,3
"4","X1.25.20","1.25.20",2020-01-25,761,40,32,212,16,1
"5","X1.26.20","1.26.20",2020-01-26,1058,52,42,297,12,10
"6","X1.27.20","1.27.20",2020-01-27,1423,76,45,365,24,3
"7","X1.28.20","1.28.20",2020-01-28,3554,125,80,2131,49,35
"8","X1.29.20","1.29.20",2020-01-29,3554,125,88,0,0,8
"9","X1.30.20","1.30.20",2020-01-30,4903,162,90,1349,37,2
"10","X1.31.20","1.31.20",2020-01-31,5806,204,141,903,42,51
"11","X2.1.20","2.1.20",2020-02-01,7153,249,168,1347,45,27
"12","X2.2.20","2.2.20",2020-02-02,11177,350,295,4024,101,127
"13","X2.3.20","2.3.20",2020-02-03,13522,414,386,2345,64,91
"14","X2.4.20","2.4.20",2020-02-04,16678,479,522,3156,65,136
"15","X2.5.20","2.5.20",2020-02-05,19665,549,633,2987,70,111
"16","X2.6.20","2.6.20",2020-02-06,22112,618,817,2447,69,184
"17","X2.7.20","2.7.20",2020-02-07,24953,699,1115,2841,81,298
"18","X2.8.20","2.8.20",2020-02-08,27100,780,1439,2147,81,324
"19","X2.9.20","2.9.20",2020-02-09,29631,871,1795,2531,91,356
"20","X2.10.20","2.10.20",2020-02-10,31728,974,2222,2097,103,427
"21","X2.11.20","2.11.20",2020-02-11,33366,1068,2639,1638,94,417
"22","X2.12.20","2.12.20",2020-02-12,33366,1068,2686,0,0,47
"23","X2.13.20","2.13.20",2020-02-13,48206,1310,3459,14840,242,773
"24","X2.14.20","2.14.20",2020-02-14,54406,1457,4774,6200,147,1315
"25","X2.15.20","2.15.20",2020-02-15,56249,1596,5623,1843,139,849
"26","X2.16.20","2.16.20",2020-02-16,58182,1696,6639,1933,100,1016
"27","X2.17.20","2.17.20",2020-02-17,59989,1789,7862,1807,93,1223
"28","X2.18.20","2.18.20",2020-02-18,61682,1921,9128,1693,132,1266
"29","X2.19.20","2.19.20",2020-02-19,62031,2029,10337,349,108,1209
"30","X2.20.20","2.20.20",2020-02-20,62442,2144,11788,411,115,1451
"31","X2.21.20","2.21.20",2020-02-21,62662,2144,11881,220,0,93
"32","X2.22.20","2.22.20",2020-02-22,64084,2346,15299,1422,202,3418
"33","X2.23.20","2.23.20",2020-02-23,64084,2346,15343,0,0,44
"34","X2.24.20","2.24.20",2020-02-24,64287,2495,16748,203,149,1405
"35","X2.25.20","2.25.20",2020-02-25,64786,2563,18971,499,68,2223
"36","X2.26.20","2.26.20",2020-02-26,65187,2615,20969,401,52,1998
"37","X2.27.20","2.27.20",2020-02-27,65596,2641,23383,409,26,2414
"38","X2.28.20","2.28.20",2020-02-28,65914,2682,26403,318,41,3020
"39","X2.29.20","2.29.20",2020-02-29,66337,2727,28993,423,45,2590
"40","X3.1.20","3.1.20",2020-03-01,66907,2761,31536,570,34,2543
"41","X3.2.20","3.2.20",2020-03-02,67103,2803,33934,196,42,2398
"42","X3.3.20","3.3.20",2020-03-03,67217,2835,36208,114,32,2274
"43","X3.4.20","3.4.20",2020-03-04,67332,2871,38557,115,36,2349
"44","X3.5.20","3.5.20",2020-03-05,67466,2902,40592,134,31,2035
"45","X3.6.20","3.6.20",2020-03-06,67592,2931,42033,126,29,1441
"46","X3.7.20","3.7.20",2020-03-07,67666,2959,43500,74,28,1467
"47","X3.8.20","3.8.20",2020-03-08,67707,2986,45235,41,27,1735
"48","X3.9.20","3.9.20",2020-03-09,67743,3008,46488,36,22,1253
"49","X3.10.20","3.10.20",2020-03-10,67760,3024,47743,17,16,1255
"50","X3.11.20","3.11.20",2020-03-11,67773,3046,49134,13,22,1391
"51","X3.12.20","3.12.20",2020-03-12,67781,3056,50318,8,10,1184
"52","X3.13.20","3.13.20",2020-03-13,67786,3062,51553,5,6,1235
"53","X3.14.20","3.14.20",2020-03-14,67790,3075,52960,4,13,1407
"54","X3.15.20","3.15.20",2020-03-15,67794,3085,54288,4,10,1328
"55","X3.16.20","3.16.20",2020-03-16,67798,3099,55142,4,14,854
"56","X3.17.20","3.17.20",2020-03-17,67799,3111,56003,1,12,861
"57","X3.18.20","3.18.20",2020-03-18,67800,3122,56927,1,11,924
"58","X3.19.20","3.19.20",2020-03-19,67800,3130,57682,0,8,755
"59","X3.20.20","3.20.20",2020-03-20,67800,3133,58382,0,3,700
"60","X3.21.20","3.21.20",2020-03-21,67800,3139,58946,0,6,564
"61","X3.22.20","3.22.20",2020-03-22,67800,3144,59433,0,5,487
